DATE,MNROCK3URN,MNROCK3LFN,MHIMN27133A052NCEN,RACEDISPARITY027133,PI27133,2020RATIO027133,B14005DCYACS027133,DP04ACS027133,MNROCK3POP,CDC20N2U027133,USPTOISSUED027133,PCPI27133,PUAAMN27133A647NCEN,B01002001E027133,B080ACS027133,CDC20N2UAA027133,ATNHPIUS27133A,EQFXSUBPRIME027133,HC01ESTVC1727133,S1701ACS027133,HC01ESTVC1627133,ENU2713320510,BPPRIV027133,MHICILBMN27133A052NCEN,MHICIUBMN27133A052NCEN,PUA0T17MN27133A647NCEN,PUA5T17RMN27133A647NCEN,HOWNRATEACS027133,NETMIGNACS027133,B03002012E027133,S1101SPHOUSE027133,PEAAMN27133A647NCEN,PPAAMN27133A156NCEN,PECILBAAMN27133A647NCEN,PECIUBAAMN27133A647NCEN,PPCILBAAMN27133A156NCEN,DMPCRATE027133,PPCIUBAAMN27133A156NCEN,FBITC027133,S1501ACSTOTAL027133,MNNIUA475SCEN,B03002003E027133,B03002006E027133,B03002005E027133,PE5T17MN27133A647NCEN,PP5T17MN27133A156NCEN,PECILB5T17MN27133A647NCEN,PECIUB5T17MN27133A647NCEN,PPCILB5T17MN27133A156NCEN,CBR27133MNA647NCEN,PEU18MN27133A647NCEN,PPU18MN27133A156NCEN,B03002004E027133,PECILBU18MN27133A647NCEN,PECIUBU18MN27133A647NCEN,PPCILBU18MN27133A156NCEN,PPCIUB5T17MN27133A156NCEN,PPCIUBU18MN27133A156NCEN,county
1991-11-01,2.7,4685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1991-12-01,2.3,4643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-01-01,3.3,4623.0,,,170712.0,,,,9.887,,,17266.0,,,,,69.37,,,,,241.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-02-01,3.6,4543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-03-01,3.6,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-04-01,2.7,4731.0,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-05-01,2.4,4832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-06-01,3.0,4994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-07-01,3.1,4708.0,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-08-01,2.8,4598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-09-01,2.6,4675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-10-01,3.0,4666.0,,,,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-11-01,2.4,4586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1992-12-01,2.6,4531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-01-01,4.0,4708.0,30212.0,,164846.0,,,,9.889,,,16670.0,,,,,78.66,,,,,239.0,30.0,27739.0,32672.0,,,,,,,958.0,9.6,748.0,1167.0,7.5,,11.7,,,,,,,251.0,11.1,183.0,318.0,8.1,353.0,352.0,12.1,,266.0,437.0,9.2,14.1,15.1,ROCK
1993-02-01,3.5,4626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-03-01,3.5,4726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-04-01,2.8,4726.0,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-05-01,2.5,4841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-06-01,2.9,5067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-07-01,2.4,4749.0,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-08-01,2.0,4623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-09-01,2.3,4791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-10-01,2.4,4784.0,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-11-01,2.6,4793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1993-12-01,2.8,4747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-01-01,4.1,4865.0,,,196150.0,,,,9.958,,,19698.0,,,,,84.75,,,,,253.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-02-01,3.9,4836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-03-01,3.9,4924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-04-01,2.6,4861.0,,,,,,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-05-01,2.2,5014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-06-01,2.6,5178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-07-01,2.5,4770.0,,,,,,,,,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-08-01,2.6,4916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-09-01,2.3,5178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-10-01,1.9,5132.0,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-11-01,2.1,5146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1994-12-01,2.6,4891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-01-01,3.4,4876.0,30944.0,,187716.0,,,,9.942,,,18881.0,,,,,88.61,,,,,246.0,27.0,27775.0,34096.0,,,,,,,827.0,8.3,650.0,1004.0,6.5,,10.1,,,,,,,210.0,9.5,157.0,263.0,7.1,341.0,310.0,10.9,,237.0,384.0,8.3,11.8,13.5,ROCK
1995-02-01,3.0,4860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-03-01,2.8,4958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-04-01,2.9,5138.0,,,,,,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-05-01,1.8,5097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-06-01,2.5,5270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-07-01,2.3,5074.0,,,,,,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-08-01,2.5,5008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-09-01,2.3,5136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-10-01,2.0,5039.0,,,,,,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-11-01,1.7,5021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1995-12-01,2.5,4955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-01-01,3.0,4969.0,,,222614.0,,,,10.0,,,22261.0,,,,,94.36,,,,,249.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-02-01,2.9,5010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-03-01,3.1,5151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-04-01,3.0,5164.0,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-05-01,2.4,5205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-06-01,2.8,5278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-07-01,2.8,5080.0,,,,,,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-08-01,2.7,5056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-09-01,2.9,5217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-10-01,2.5,5154.0,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-11-01,2.4,5075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1996-12-01,3.1,4943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-01-01,3.8,4941.0,34775.0,,218574.0,,,,9.978,,,21906.0,,,,,93.1,,,,,247.0,51.0,31564.0,37968.0,,,,,,,766.0,7.9,580.0,953.0,5.9,,9.8,,,1.0,,,,218.0,10.3,147.0,289.0,7.0,177.0,285.0,10.4,,203.0,367.0,7.4,13.7,13.4,ROCK
1997-02-01,3.6,4922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-03-01,3.4,4912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-04-01,2.8,5043.0,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-05-01,2.1,5079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-06-01,2.7,5189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-07-01,2.0,5132.0,,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-08-01,1.9,5126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-09-01,1.8,5225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-10-01,1.8,5256.0,,,,,,,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-11-01,1.6,5201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1997-12-01,2.3,5228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-01-01,3.6,5036.0,35212.0,,222438.0,,,,9.846,,,22592.0,9690.0,,,,97.14,,,,,256.0,20.0,32011.0,38395.0,2691.0,2104.0,,,,,893.0,9.2,682.0,1104.0,7.0,,11.4,,,,,,,231.0,11.0,148.0,314.0,7.0,207.0,337.0,12.5,,235.0,438.0,8.7,14.9,16.3,ROCK
1998-02-01,3.3,5014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-03-01,5.4,5060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-04-01,4.2,4732.0,,,,,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-05-01,3.7,4803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-06-01,4.2,4824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-07-01,3.6,4695.0,,,,,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-08-01,3.2,4588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-09-01,3.3,4591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-10-01,3.0,4599.0,,,,,,,,,,,,,,,,,,,,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-11-01,3.3,4481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1998-12-01,3.1,4450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-01-01,3.8,4705.0,37797.0,,228487.0,,,,9.785,369.6,,23351.0,9598.0,,,330.0,97.53,21.505376344086017,,,,248.0,11.0,35339.0,40425.0,2550.0,1933.0,,,,,686.0,7.1,513.0,859.0,5.3,,8.9,,,,,,,164.0,8.5,102.0,226.0,5.3,196.0,223.0,8.7,,149.0,296.0,5.9,11.7,11.6,ROCK
1999-02-01,3.5,4675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-03-01,3.7,4709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-04-01,3.0,4607.0,,,,,,,,,,,,,,,,20.947265625,,,,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-05-01,2.7,4707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-06-01,3.1,4800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-07-01,2.7,5205.0,,,,,,,,,,,,,,,,18.906720160481445,,,,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-08-01,2.1,5094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-09-01,2.4,5136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-10-01,2.0,4525.0,,,,,,,,,,,,,,,,20.351624933404374,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-11-01,2.3,4363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
1999-12-01,2.3,4398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-01-01,3.4,5173.0,39749.0,,244681.0,,,,9.669,337.4,,25217.0,9595.0,,,263.2,100.0,19.3254817987152,,,,246.0,17.0,36871.0,42852.0,2438.0,1806.0,,,,,663.0,6.9,509.0,818.0,5.3,,8.5,,,,,,,148.0,8.2,99.0,197.0,5.5,175.0,232.0,9.5,,168.0,296.0,6.9,10.9,12.1,ROCK
2000-02-01,3.4,5266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-03-01,3.2,5261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-04-01,2.4,5296.0,,,,,,,,,,,,,,,,18.6659494351802,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-05-01,2.3,5273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-06-01,2.6,5246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-07-01,2.3,5198.0,,,,,,,,,,,,,,,,19.356512714063314,,,,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-08-01,3.1,5201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-09-01,2.5,5320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-10-01,2.2,5366.0,,,,,,,,,,,,,,,,17.94145420207743,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-11-01,2.9,5255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2000-12-01,2.8,5149.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-01-01,3.7,5154.0,39183.0,,269296.0,,,,9.644,373.6,,27774.0,9503.0,,,316.3,108.61,18.290441176470583,,,,246.0,17.0,36562.0,41992.0,2366.0,1777.0,,,,,697.0,7.3,534.0,861.0,5.6,,9.1,,,,,,,154.0,8.7,100.0,208.0,5.6,193.0,226.0,9.6,,160.0,292.0,6.8,11.7,12.4,ROCK
2001-02-01,3.5,5142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-03-01,3.7,5216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-04-01,2.9,5335.0,,,,,,,,,,,,,,,,17.66024204392649,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-05-01,1.9,5411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-06-01,2.4,5499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-07-01,2.0,5382.0,,,,,,,,,,,,,,,,18.835930339138404,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-08-01,2.0,5458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-09-01,2.1,5449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-10-01,2.0,5390.0,,,,,,,,,,,,,,,,18.349864743011718,,,,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-11-01,2.1,5237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2001-12-01,2.7,5212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-01-01,3.6,5235.0,39245.0,,271269.0,,,,9.62,327.0,,28001.0,9481.0,,,283.1,108.69,18.766999093381685,,,,250.0,23.0,36588.0,42096.0,2277.0,1720.0,,,,,690.0,7.3,523.0,857.0,5.5,,9.0,,,,,,,144.0,8.4,96.0,192.0,5.6,259.0,196.0,8.6,,139.0,252.0,6.1,11.1,11.1,ROCK
2002-02-01,3.9,5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-03-01,4.0,5359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-04-01,3.3,5349.0,,,,,,,,,,,,,,,,18.952164009111613,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-05-01,2.7,5344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-06-01,3.0,5430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-07-01,3.0,5355.0,,,,,,,,,,,,,,,,20.009033423667567,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-08-01,2.8,5292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-09-01,2.6,5488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-10-01,2.4,5513.0,,,,,,,,,,,,,,,,19.882246376811594,,,,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-11-01,2.3,5376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2002-12-01,2.7,5341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
2003-01-01,3.7,5396.0,40121.0,,271759.0,,,,9.545,400.0,,28217.0,9441.0,,,328.2,110.7,19.927371765773945,,,,249.0,26.0,37684.0,42716.0,2292.0,1686.0,,,,,711.0,7.5,540.0,881.0,5.7,,9.3,,,,,,,138.0,8.2,94.0,182.0,5.6,284.0,220.0,9.6,,159.0,281.0,6.9,10.8,12.2,ROCK
2003-02-01,3.9,5207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK
