year,county,undergrad,unemployment,income_percap,civ_labor,race_white,income_med,income_person,pop_res,net_mig,homeowner,crime,racical_dissim,snap,inc_ineq,discon_yth,burd_house,pre_death,patents,poverty,age_med,commute,age_pre_death,at_hpi,eq_sprime,poverty_perc,hisp_latin,privat_ests,buildings,poverty_u18,house_singp,pop_est,pop_perc,prevent_admin,assoc_deg,rel_chil_518,prec_rel_chil_518,pop_u18,perc_pop_u18,real_wage_coladj,date,countycode
1991,AITKIN,NaN,13984,NaN,NaN,176240,12.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.25,127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,1,8.9,5410
1991,ANOKA,NaN,18556,NaN,NaN,4668080,251.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.166666666666667,NaN,NaN,NaN,NaN,64.44,NaN,NaN,NaN,4700.25,1906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,2,4.6,150032
1991,BECKER,NaN,14110,NaN,NaN,397704,28.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.74,NaN,NaN,NaN,658.25,126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,3,5.9,12742
1991,BELTRAMI,NaN,13994,NaN,NaN,492900,35.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.79,NaN,NaN,NaN,839,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,4,6.7,16256
1991,BENTON,NaN,15072,NaN,NaN,465859,30.909000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.67,NaN,NaN,NaN,589.5,167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,5,4.9,17247
1991,BIG STONE,NaN,15181,NaN,NaN,94213,6.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,6,2.7,2851
1991,BLUE EARTH,NaN,16369,NaN,NaN,891115,54.43899999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.39,NaN,NaN,NaN,1488,118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,7,3.6,30364
1991,BROWN,NaN,17245,NaN,NaN,465052,26.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.54,NaN,NaN,NaN,731.75,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,8,3.2,14713
1991,CARLTON,NaN,15047,NaN,NaN,443458,29.471999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.62,NaN,NaN,NaN,569,127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,9,7.1,13667
1991,CARVER,NaN,22126,NaN,NaN,1111829,50.251000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.92,NaN,NaN,NaN,985.75,514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,10,3.7,29430
1991,CASS,NaN,18804,NaN,NaN,1973970,104.97399999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.42,NaN,NaN,NaN,544.75,393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,11,2.6,9923
1991,CHIPPEWA,NaN,16503,NaN,NaN,218284,13.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,371,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,12,4.1,6294
1991,CHISAGO,NaN,16695,NaN,NaN,521554,31.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.44,NaN,NaN,NaN,636.25,336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,13,4.7,15736
1991,CLAY,NaN,14503,NaN,NaN,733275,50.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.02,NaN,NaN,NaN,971.5,101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,14,4,27359
1991,CLEARWATER,NaN,12272,NaN,NaN,101739,8.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.75,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,15,11.8,3434
1991,COOK,NaN,17524,NaN,NaN,69887,3.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,16,3.6,2667
1991,COTTONWOOD,NaN,15995,NaN,NaN,199708,12.485999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,351.75,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,17,11.4,6050
1991,CROW WING,NaN,15984,NaN,NaN,728648,45.586999999999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.79,NaN,NaN,NaN,1341.75,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,18,4.7,23208
1991,DAKOTA,NaN,22605,NaN,NaN,6485734,286.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,65.1,NaN,NaN,NaN,6052.75,2721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,19,3.9,172856
1991,DODGE,NaN,16940,NaN,NaN,271005,15.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.17,NaN,NaN,NaN,317.5,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,20,4.5,7703
1991,DOUGLAS,NaN,15607,NaN,NaN,657566,42.132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.71,NaN,NaN,NaN,880.5,126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,21,5.5,14534
1991,FARIBAULT,NaN,15812,NaN,NaN,263522,16.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,441,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,22,4.5,8399
1991,FILLMORE,NaN,16085,NaN,NaN,332174,20.651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,493.25,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,23,4.2,9923
1991,FREEBORN,NaN,15916,NaN,NaN,523379,32.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.3,NaN,NaN,NaN,782.5,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,24,5.1,16793
1991,GOODHUE,NaN,18367,NaN,NaN,756311,41.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.07,NaN,NaN,NaN,1025.5,167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,25,3.4,22140
1991,GRANT,NaN,15602,NaN,NaN,97606,6.256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200.25,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,26,4.5,2796
1991,HENNEPIN,NaN,26183,NaN,NaN,27314121,1043.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.83333333333333,NaN,NaN,NaN,NaN,62.19,NaN,NaN,NaN,34268.75,2410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,27,4.6,625976
1991,HOUSTON,NaN,17155,NaN,NaN,318614,18.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.75,NaN,NaN,NaN,354.5,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,28,2.8,9773
1991,HUBBARD,NaN,13595,NaN,NaN,207846,15.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408.25,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,29,8.7,6953
1991,ISANTI,NaN,16205,NaN,NaN,427263,26.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.4,NaN,NaN,NaN,477.5,185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,30,5.3,13399
