"","year","pctcode","congdist","r_factor"
"1369",2010,"1450","5",0.342156229825694
"1370",2010,"1455","5",0.397796817625459
"1371",2010,"1456","5",0.0638878067783405
"1372",2010,"1460","5",0.140639698965193
"1373",2010,"1465","5",0.279206859592712
"1374",2010,"1470","5",0.514398848092153
"1375",2010,"1475","5",0.430898321816387
"1376",2010,"1480","5",0.51410373066424
"1377",2010,"1485","5",0.461724415793715
"1378",2010,"1490","5",0.33405017921147
"1379",2010,"1495","5",0.249275362318841
"1380",2010,"1500","5",0.253880266075388
"1381",2010,"1505","5",0.473498233215548
"1382",2010,"1510","5",0.44752308984047
"1383",2010,"1515","5",0.439749608763693
"1384",2010,"1520","5",0.605099150141643
"1385",2010,"1525","5",0.469950738916256
"1386",2010,"1530","5",0.383011190233978
"1387",2010,"1535","5",0.576652601969058
"1388",2010,"1540","5",0.447798119742702
"1389",2010,"1545","5",0.376716090060406
"1390",2010,"1550","5",0.379908675799087
"1391",2010,"1555","5",0.459560792715586
"1392",2010,"1560","5",0.294059405940594
"1393",2010,"1565","5",0.315980629539952
"1394",2010,"1570","5",0.426695842450766
"1395",2010,"1575","5",0.398620689655172
"1396",2010,"1580","5",0.342754367934224
"1397",2010,"1585","5",0.293937068303914
"1398",2010,"1590","5",0.386904761904762
"1399",2010,"1595","5",0.52317880794702
"1400",2010,"1600","5",0.281653746770026
"1401",2010,"1605","5",0.306569343065693
"1402",2010,"1610","5",0.394728485233407
"1403",2010,"1615","5",0.338395638629284
"1404",2010,"1620","5",0.293198263386397
"1405",2010,"1625","5",0.275720164609054
"1406",2010,"1630","5",0.295395308427454
"1407",2010,"1635","5",0.334862385321101
"1408",2010,"1640","5",0.394694533762058
"1409",2010,"1645","5",0.71264367816092
"1410",2010,"1650","5",0.744075829383886
"1411",2010,"1655","5",0.542845428454285
"1412",2010,"1660","5",0.685421994884911
"1413",2010,"1665","5",0.557894736842105
"1414",2010,"1670","5",0.422721798474508
"1415",2010,"1675","5",0.611265646731572
"1416",2010,"1680","5",0.481949458483755
"1417",2010,"1685","5",0.418211120064464
"1418",2010,"1690","5",0.590733590733591
"1419",2010,"1695","5",0.48
"1420",2010,"1700","5",0.357930449533503
"1421",2010,"1705","5",0.494525547445255
"1422",2010,"1710","5",0.375323554788611
"1423",2010,"1715","5",0.537017726798749
"1424",2010,"1720","5",0.488878801634135
"1425",2010,"1725","5",0.531994395142457
"1426",2010,"1730","5",0.668571428571429
"1427",2010,"1735","5",0.611080332409972
"1428",2010,"1740","5",0.609408410548824
"1429",2010,"1745","5",0.611670864819479
"1430",2010,"1750","5",0.433989788475565
"1431",2010,"1755","5",0.616585891222402
"1432",2010,"1760","5",0.427701674277017
"1433",2010,"1765","5",0.295841209829868
"1434",2010,"1770","5",0.433585684790089
"1435",2010,"1775","5",0.484012539184953
"1436",2010,"1780","5",0.570806100217865
"1437",2010,"1785","5",0.552088334133461
"1438",2010,"1790","5",0.605074821080026
"1439",2010,"1795","5",0.354720439963336
"1440",2010,"1800","5",0.448504983388704
"1441",2010,"1805","5",0.402203856749311
"1442",2010,"1810","5",0.392665474060823
"1443",2010,"1815","5",0.526959421901056
"1444",2010,"1820","5",0.427993527508091
"1445",2010,"1825","5",0.346815834767642
"1446",2010,"1830","5",0.454545454545455
"1447",2010,"1835","5",0.480834272829763
"1448",2010,"1840","5",0.586570111915734
"1449",2010,"1845","5",0.558954748247291
"1450",2010,"1850","5",0.570208222103577
"1451",2010,"1855","5",0.361196319018405
"1452",2010,"1860","5",0.659797822706065
"1453",2010,"1865","5",0.701854493580599
"1454",2010,"1870","5",0.64440734557596
"1455",2010,"1875","5",0.430698739977091
"1456",2010,"1880","5",0.694746376811594
"1457",2010,"1885","5",0.639914163090129
"1458",2010,"1890","5",0.687737642585551
"1459",2010,"1895","5",0.693297224102911
"1460",2010,"1900","5",0.516982622432859
"1461",2010,"1905","5",0.692748873412536
"1462",2010,"1910","5",0.640276086073894
"1463",2010,"1915","5",0.63765541740675
"1464",2010,"1920","5",0.644844517184943
"1465",2010,"1925","5",0.68763557483731
"1466",2010,"1930","5",0.656706507304117
"1467",2010,"1935","5",0.452459016393443
"1468",2010,"1940","5",0.580694743313864
"1469",2010,"1945","5",0.599199542595769
"1470",2010,"1950","5",0.571524966261808
"1471",2010,"1955","5",0.669277108433735
"1472",2010,"1960","5",0.488082901554404
"1473",2010,"1965","5",0.70045510964005
"1474",2010,"1970","5",0.601614434947768
"1475",2010,"1975","5",0.68698578908003
"1476",2010,"1980","5",0.694646816598036
"1477",2010,"1985","5",0.718834951456311
"1478",2010,"1990","5",0.684160305343511
"1479",2010,"1995","5",0.633795582948125
"1480",2010,"2000","5",0.6228
"1481",2010,"2005","5",0.701745877788555
"1482",2010,"2090","3",0.704897706137632
"1483",2010,"2095","3",0.662506240639041
"1484",2010,"2100","3",0.525871766029246
"1485",2010,"2105","3",0.672862453531598
"1486",2010,"2110","3",0.719128329297821
"1487",2010,"2115","3",0.684852835606604
"1488",2010,"2120","3",0.666479190101237
"1489",2010,"2125","3",0.705244122965642
"1490",2010,"2130","3",0.655206776283009
