"YEAR","SERIAL","MONTH","HWTFINL","CPSID","ASECFLAG","STATEFIP","COUNTY","PERNUM","WTFINL","CPSIDP","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP","VOTED","VOREG","VOSUPPWT"
2012,34281,1,1537.5456,20101002175100,,27,27123,1,1495.1939,20101002175101,,,,,,,,,,
2012,34281,1,1537.5456,20101002175100,,27,27123,2,1537.5456,20101002175102,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,1,2862.4753,20110103421001,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,2,1550.0409,20110103421002,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,3,3515.8725,20110103421003,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,4,2531.9881,20110103421004,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,5,2581.5903,20110103421005,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,6,2203.7383,20110103421006,,,,,,,,,,
2012,34282,1,1550.0409,20110103421000,,27,27123,7,1756.6051,20110103421007,,,,,,,,,,
2012,34283,1,1663.0253,20120103428300,,27,27123,1,1866.7386,20120103428301,,,,,,,,,,
2012,34283,1,1663.0253,20120103428300,,27,27123,2,1663.0253,20120103428302,,,,,,,,,,
2012,34283,1,1663.0253,20120103428300,,27,27123,3,1631.1378,20120103428303,,,,,,,,,,
2012,34283,1,1663.0253,20120103428300,,27,27123,4,1488.9622,20120103428304,,,,,,,,,,
2012,34283,1,1663.0253,20120103428300,,27,27123,5,2000.0593,20120103428305,,,,,,,,,,
2012,34284,1,1953.309,20111203424300,,27,27123,1,2078.6858,20111203424301,,,,,,,,,,
2012,34284,1,1953.309,20111203424300,,27,27123,2,1953.309,20111203424302,,,,,,,,,,
2012,34284,1,1953.309,20111203424300,,27,27123,3,1628.6575,20111203424303,,,,,,,,,,
2012,34284,1,1953.309,20111203424300,,27,27123,4,1994.2804,20111203424304,,,,,,,,,,
2012,34286,1,1440.6378,20111203424500,,27,27123,1,1440.6378,20111203424501,,,,,,,,,,
2012,34287,1,1721.5083,20111003424600,,27,0,1,1721.5083,20111003424601,,,,,,,,,,
2012,34287,1,1721.5083,20111003424600,,27,0,2,1263.1713,20111003424602,,,,,,,,,,
2012,34288,1,1636.2236,20110103421500,,27,0,1,1636.2236,20110103421501,,,,,,,,,,
2012,34288,1,1636.2236,20110103421500,,27,0,2,1559.1724,20110103421502,,,,,,,,,,
2012,34289,1,1268.3574,20111103421100,,27,0,1,1268.3574,20111103421101,,,,,,,,,,
2012,34289,1,1268.3574,20111103421100,,27,0,2,1089.2484,20111103421102,,,,,,,,,,
2012,34289,1,1268.3574,20111103421100,,27,0,3,1913.1575,20111103421103,,,,,,,,,,
2012,34290,1,1830.3836,20111103421200,,27,0,1,1830.3836,20111103421201,,,,,,,,,,
2012,34290,1,1830.3836,20111103421200,,27,0,2,2144.1018,20111103421202,,,,,,,,,,
2012,34290,1,1830.3836,20111103421200,,27,0,3,2144.1018,20111103421204,,,,,,,,,,
2012,34290,1,1830.3836,20111103421200,,27,0,4,1531.1354,20111103421205,,,,,,,,,,
2012,34290,1,1830.3836,20111103421200,,27,0,5,1740.2761,20111103421206,,,,,,,,,,
2012,34291,1,1674.3229,20120103429100,,27,0,1,1674.3229,20120103429101,,,,,,,,,,
