,B27001_001E,B27001_002E,B29001_001E,B29001_002E,B29001_003E,B29001_004E,B29001_005E,B29002_001E,B29002_002E,B29002_003E,B29002_004E,B29002_005E,B29002_006E,B29002_007E,B29002_008E,B29003_001E,B29003_002E,B29003_003E,NAME,state,county,year
30,999171,482788,750580,177066,158494,224493,190527,750580,16625,56468,170231,212171,67243,134630,93212,726780,103921,622859,"Pima County, Arizona",04,019,2017
31,406159,200643,306702,56381,77889,91864,80568,306702,11673,32870,101706,81900,22606,36748,19199,287411,33969,253442,"Pinal County, Arizona",04,021,2017
32,226407,110667,184738,24687,28661,61500,69890,184738,3962,12414,47689,60962,18389,23613,17709,180595,23884,156711,"Yavapai County, Arizona",04,025,2017
33,201113,100842,124099,34240,27780,30966,31113,124099,8290,13431,36908,38304,11397,9713,6056,119842,15216,104626,"Yuma County, Arizona",04,027,2017
34,264760,131325,173572,35872,47200,56598,33902,173572,3260,9089,55250,40884,10354,38597,16138,171257,14709,156548,"Benton County, Arkansas",05,007,2017
35,105951,52402,77208,19084,19723,23381,15020,77208,2601,5045,25166,17249,6782,13032,7333,73682,9436,64246,"Craighead County, Arkansas",05,031,2017
36,178016,86029,127928,26462,35351,43609,22506,127928,2500,8396,41344,32747,15949,17639,9353,127300,7722,119578,"DeSoto County, Mississippi",28,033,2017
37,74758,35501,57042,17267,13634,15931,10210,57042,1867,4718,13498,16661,4967,10570,4761,54261,12480,41781,"Forrest County, Mississippi",28,035,2017
38,197721,93943,152169,34183,37614,50666,29706,152169,3660,12405,44738,40216,15410,23109,12631,147627,22759,124868,"Harrison County, Mississippi",28,047,2017
39,236930,109187,179929,44763,43601,57885,33680,179929,5644,18004,47653,45318,17018,27350,18942,172145,28502,143643,"Hinds County, Mississippi",28,049,2017
40,140015,68469,106786,21639,24932,38075,22140,106786,3473,8398,34531,25926,13382,14232,6844,105757,12387,93370,"Jackson County, Mississippi",28,059,2017
41,67154,33177,49000,10057,10846,16676,11421,49000,1598,5491,17489,12986,4465,3598,3373,47691,9713,37978,"Jones County, Mississippi",28,067,2017
42,73034,33948,57298,11728,13661,19163,12746,57298,2050,6972,15814,13635,6173,7577,5077,54572,8246,46326,"Lauderdale County, Mississippi",28,075,2017
43,84063,40020,62367,12877,15632,21596,12262,62367,2844,8665,16499,14335,6795,7718,5511,61551,6947,54604,"Lee County, Mississippi",28,081,2017
44,103660,50820,76177,15355,20623,26878,13321,76177,1479,5128,13709,14395,6456,22058,12952,74715,6926,67789,"Madison County, Mississippi",28,089,2017
45,147300,68765,113952,21860,31855,37930,22307,113952,1996,9194,31349,28125,11314,21855,10119,109640,8516,101124,"Rankin County, Mississippi",28,121,2017
46,176907,86301,137204,48476,30640,36733,21355,137204,1882,4890,26831,43552,8843,33147,18059,129177,21454,107723,"Boone County, Missouri",29,019,2017
47,85774,41119,66169,14181,15814,21525,14649,66169,1787,5109,27330,15842,4646,7363,4092,62256,7921,54335,"Buchanan County, Missouri",29,021,2017
48,76958,36333,59657,15403,12778,18699,12777,59657,1520,3245,19451,16020,3101,11053,5267,56972,7246,49726,"Cape Girardeau County, Missouri",29,031,2017
49,102981,50916,77218,14039,18386,27853,16940,77218,2045,5466,26807,16944,6921,12731,6304,76404,7049,69355,"Cass County, Missouri",29,037,2017
50,85006,41024,62769,11911,15934,21776,13148,62769,1172,3910,20295,13913,5674,12321,5484,62400,6669,55731,"Christian County, Missouri",29,043,2017
51,241146,118055,179469,35565,49187,61140,33577,179469,2419,10428,51266,46018,14459,36947,17932,177573,10266,167307,"Clay County, Missouri",29,047,2017
52,72957,35411,59270,12622,14817,19585,12246,59270,837,4651,19338,14629,3305,11276,5234,54756,5979,48777,"Cole County, Missouri",29,051,2017
53,102487,51121,78947,14057,17555,29671,17664,78947,2085,7829,26434,18874,8532,9069,6124,78104,6831,71273,"Franklin County, Missouri",29,071,2017
54,286228,139626,226087,60333,49548,69165,47041,226087,3596,15330,60539,66036,18634,40762,21190,216371,32508,183863,"Greene County, Missouri",29,077,2017
55,691925,334265,510377,108959,128681,172188,100549,510377,10690,35352,149752,129186,34908,99059,51430,502655,54650,448005,"Jackson County, Missouri",29,095,2017
56,119289,58481,86998,19010,22520,27470,17998,86998,1766,8378,29793,22829,6131,13572,4529,85305,11455,73850,"Jasper County, Missouri",29,097,2017
57,221818,111208,170591,30434,43264,63840,33053,170591,3402,14448,52854,44741,19186,24312,11648,168875,16021,152854,"Jefferson County, Missouri",29,099,2017
58,100505,48991,74477,14840,18707,27053,13877,74477,676,3465,17121,17950,6266,17089,11910,73931,4943,68988,"Platte County, Missouri",29,165,2017
59,392888,192964,294872,55564,75798,105542,57968,294872,3569,11570,76029,71181,27342,69798,35383,287652,12588,275064,"St. Charles County, Missouri",29,183,2017
60,59735,30122,52103,10412,13747,17363,10581,52103,3339,6329,18955,12068,5804,3453,2155,45237,6369,38868,"St. Francois County, Missouri",29,187,2017
61,984505,467174,745328,141130,169675,261100,173423,745328,11689,40556,165994,176045,56137,175843,119064,729258,63925,665333,"St. Louis County, Missouri",29,189,2017
62,304373,146813,236710,58565,64266,74752,39127,236710,5462,21379,56885,56365,14736,46205,35678,229881,40404,189477,"St. Louis city, Missouri",29,510,2017
63,78739,38670,62320,13776,14045,19713,14786,62320,1974,3727,22048,13693,5865,10004,5009,60563,6069,54494,"Cascade County, Montana",30,013,2017
64,99409,48721,77077,12603,17754,28294,18426,77077,1259,4092,23483,19423,7788,13939,7093,76502,7808,68694,"Flathead County, Montana",30,029,2017
65,107341,55561,85118,26168,22162,23827,12961,85118,899,2054,16771,24172,3668,26776,10778,81769,9264,72505,"Gallatin County, Montana",30,031,2017
66,67207,32809,53052,9059,13047,18789,12157,53052,998,1832,12435,14356,4435,12127,6869,51756,3658,48098,"Lewis and Clark County, Montana",30,049,2017
67,116892,58159,92988,25086,23013,27107,17782,92988,677,3231,19857,24824,6656,24017,13726,90712,12976,77736,"Missoula County, Montana",30,063,2017
68,156892,77907,119426,22465,29899,40738,26324,119426,1994,6900,34717,27533,12290,25113,10879,116982,10580,106402,"Yellowstone County, Montana",30,111,2017
69,555173,272976,383840,85945,103449,125608,68838,383840,6445,18939,85981,102073,28722,95132,46548,374529,30264,344265,"Douglas County, Nebraska",31,055,2017
70,309760,153988,231788,67937,54457,67426,41968,231788,3366,8924,51756,65893,23273,53010,25566,219680,24899,194781,"Lancaster County, Nebraska",31,109,2017
71,177551,87821,126424,26781,36413,42948,20282,126424,1556,3261,28478,31193,12457,32773,16706,125397,6108,119289,"Sarpy County, Nebraska",31,153,2017
72,2179495,1080928,1447657,306602,365524,477092,298439,1447657,38542,110462,440291,400910,113536,229782,114134,1430057,159603,1270454,"Clark County, Nevada",32,003,2017
73,458066,229902,332260,73297,75573,112443,70947,332260,5931,20831,83991,94895,28644,65065,32903,328452,33169,295283,"Washoe County, Nevada",32,031,2017
74,75199,36492,61454,13746,11999,21211,14498,61454,956,3070,17434,15996,6253,11545,6200,57435,5118,52317,"Cheshire County, New Hampshire",33,005,2017
75,88354,43744,70557,15730,12996,24246,17585,70557,1358,2664,19422,15484,5535,14962,11132,64968,4748,60220,"Grafton County, New Hampshire",33,009,2017
76,405015,201824,309795,59792,69613,118776,61614,309795,5566,17192,88010,59419,33377,68316,37915,302797,19773,283024,"Hillsborough County, New Hampshire",33,011,2017
77,145848,70457,117512,21667,25521,44122,26202,117512,2013,5620,36725,24101,11406,22893,14754,111533,6750,104783,"Merrimack County, New Hampshire",33,013,2017
78,304036,150754,240485,40441,50573,97349,52122,240485,2743,10769,63428,47942,20886,59877,34840,238670,11735,226935,"Rockingham County, New Hampshire",33,015,2017
79,126813,62344,99903,27959,20664,32878,18402,99903,1312,5791,28549,24934,9866,18846,10605,91614,8489,83125,"Strafford County, New Hampshire",33,017,2017
80,267285,128634,192115,38265,39213,70401,44236,192115,5579,14479,61953,43308,14275,33344,19177,187503,21238,166265,"Atlantic County, New Jersey",34,001,2017
81,941940,456953,647281,113198,140759,242568,150756,647281,17596,26373,150742,109627,38512,192339,112092,639037,35992,603045,"Bergen County, New Jersey",34,003,2017
82,434346,208591,338871,64229,76119,126459,72064,338871,6204,16992,98322,70405,31090,74968,40890,329468,19165,310303,"Burlington County, New Jersey",34,005,2017
83,505832,244009,373712,75076,89264,133396,75976,373712,11271,28125,111795,80489,26324,73300,42408,369233,33708,335525,"Camden County, New Jersey",34,007,2017
84,91357,44574,75629,11208,13072,27568,23781,75629,1780,2955,24508,16497,5983,15332,8574,73793,6397,67396,"Cape May County, New Jersey",34,009,2017
85,141731,68021,106262,20439,26387,36858,22578,106262,6214,11448,40951,21703,6587,13370,5989,96290,13390,82900,"Cumberland County, New Jersey",34,011,2017
86,796581,379701,527406,110884,127377,188068,101077,527406,26526,38994,142877,103801,31557,111209,72442,511479,68172,443307,"Essex County, New Jersey",34,013,2017
87,291086,141813,223578,43996,51722,83692,44168,223578,3462,9989,69411,48429,20481,47376,24430,220660,11754,208906,"Gloucester County, New Jersey",34,015,2017
88,686491,340532,403252,90843,119385,123561,69463,403252,22646,25430,104153,68290,21695,111907,49131,397065,41401,355664,"Hudson County, New Jersey",34,017,2017
89,121362,59281,95319,15776,16290,41833,21420,95319,1722,3947,21120,15039,6361,27830,19300,92547,3672,88875,"Hunterdon County, New Jersey",34,019,2017
90,370498,180926,250378,57052,50863,90458,52005,250378,4822,13867,63638,55525,13420,56440,42666,237100,23778,213322,"Mercer County, New Jersey",34,021,2017
91,834447,408792,546284,117493,117659,198333,112799,546284,15381,25469,142347,112925,38059,135043,77060,517613,35712,481901,"Middlesex County, New Jersey",34,023,2017
92,622435,302696,463525,82976,91420,185117,104012,463525,8202,20086,108948,87864,36615,125320,76490,459138,27056,432082,"Monmouth County, New Jersey",34,025,2017
93,495297,242620,356895,62436,70982,143380,80097,356895,7419,11417,72229,64050,23738,106229,71813,350162,13770,336392,"Morris County, New Jersey",34,027,2017
94,592333,284641,441508,75511,86479,147095,132423,441508,7999,23094,145812,97617,37339,87316,42331,436361,37860,398501,"Ocean County, New Jersey",34,029,2017
95,509493,247478,316055,69420,70155,110601,65879,316055,15795,20866,108427,63549,17953,62069,27396,310199,35297,274902,"Passaic County, New Jersey",34,031,2017
96,61710,29949,48019,8607,10684,17616,11112,48019,1462,3938,16822,10701,4802,7097,3197,47011,5048,41963,"Salem County, New Jersey",34,033,2017
97,332502,163173,231873,41187,49620,93670,47396,231873,3659,7784,53379,39632,13629,63156,50634,229327,10851,218476,"Somerset County, New Jersey",34,035,2017
98,140386,70189,110517,19448,22076,46025,22968,110517,1752,4650,35223,20845,9384,25121,13542,109331,4464,104867,"Sussex County, New Jersey",34,037,2017
99,559334,272720,369058,71044,88719,134067,75228,369058,13194,20943,104807,75711,24058,79854,50491,364106,24236,339870,"Union County, New Jersey",34,039,2017
100,105986,52076,81872,15260,15963,32678,17971,81872,1675,3966,25530,16663,8349,16522,9167,80427,5423,75004,"Warren County, New Jersey",34,041,2017
101,670429,326026,495454,107416,123164,160333,104541,495454,11917,30752,115755,131543,41143,91488,72856,490066,62415,427651,"Bernalillo County, New Mexico",35,001,2017
102,63772,31277,42409,9665,10294,12723,9727,42409,3460,3862,13328,11100,3598,4528,2533,41008,6786,34222,"Chaves County, New Mexico",35,005,2017
103,211606,103270,140596,41719,30394,38553,29930,140596,7617,12752,35109,42660,10854,19685,11919,134908,27737,107171,"Do?a Ana County, New Mexico",35,013,2017
104,66819,34101,40262,9791,10893,12408,7170,40262,1858,5358,13682,11781,2591,2827,2165,38145,5279,32866,"Lea County, New Mexico",35,025,2017
105,72215,34918,50606,13142,12665,16387,8412,50606,4625,6727,18479,11512,3668,2660,2935,50390,18583,31807,"McKinley County, New Mexico",35,031,2017
106,60839,30745,45926,11002,11410,13416,10098,45926,1295,3220,13112,16035,4651,4595,3018,43924,5820,38104,"Otero County, New Mexico",35,035,2017
107,141678,68557,106808,19011,26544,37075,24178,106808,2122,8438,29303,27970,10458,17083,11434,106227,16653,89574,"Sandoval County, New Mexico",35,043,2017
108,125706,61403,88977,19221,22724,28969,18063,88977,4529,9561,28631,25565,9349,7338,4004,87636,17997,69639,"San Juan County, New Mexico",35,045,2017
109,147080,70838,111590,17214,21293,39931,33152,111590,2464,6217,26083,26221,6789,22154,21662,109393,11030,98363,"Santa Fe County, New Mexico",35,049,2017
110,74653,36832,55509,11521,12951,18409,12628,55509,1989,6393,19095,16021,4621,4552,2838,54256,8064,46192,"Valencia County, New Mexico",35,061,2017
111,306359,149628,238927,62271,50296,77298,49062,238927,3638,13340,55618,49155,25615,50794,40767,224806,23352,201454,"Albany County, New York",36,001,2017
112,1449818,679510,866148,230514,205245,269418,160971,866148,75341,125953,236535,189993,67008,112481,58837,841625,188445,653180,"Bronx County, New York",36,005,2017
113,190886,94195,150477,35817,28118,50472,36070,150477,4204,10194,45483,35463,18821,21884,14428,141670,22529,119141,"Broome County, New York",36,007,2017
114,76468,38158,59621,11381,12443,21569,14228,59621,1689,4885,22807,11508,7646,6296,4790,57626,7867,49759,"Cattaraugus County, New York",36,009,2017
115,73984,36499,61334,11282,13327,22441,14284,61334,2414,5607,19827,13162,7585,8224,4515,57584,5586,51998,"Cayuga County, New York",36,011,2017
116,126708,62884,101650,20914,20520,34826,25390,101650,3686,7961,34397,20691,14211,11778,8926,96829,14392,82437,"Chautauqua County, New York",36,013,2017
117,81820,39308,66156,12156,14531,24101,15368,66156,1870,5827,25376,12843,6239,7377,6624,61678,7718,53960,"Chemung County, New York",36,015,2017
118,76495,37698,64997,15924,14334,22029,12710,64997,2276,5382,24152,13437,6657,8132,4961,58117,7067,51050,"Clinton County, New York",36,019,2017
119,286761,139666,225311,46704,45234,84166,49207,225311,4566,11931,61293,49866,25870,38932,32853,211405,17680,193725,"Dutchess County, New York",36,027,2017
120,913536,440400,712494,149333,154607,249336,159218,712494,13521,39585,195713,157315,80081,136322,89957,690138,83030,607108,"Erie County, New York",36,029,2017
121,102630,49538,85296,24645,20679,25146,14826,85296,1759,6541,32172,20711,8226,9913,5974,79238,10510,68728,"Jefferson County, New York",36,045,2017
122,2634931,1246393,1693991,407852,471835,495639,318665,1693991,97299,141958,433406,280568,114113,388918,237729,1678057,284350,1393707,"Kings County, New York",36,047,2017
123,60950,29600,50157,11393,9707,18379,10678,50157,864,2841,14848,12746,7243,7006,4609,45694,5032,40662,"Livingston County, New York",36,051,2017
124,70523,35028,56260,11974,10825,21093,12368,56260,1165,2437,20591,11696,6540,8397,5434,51734,4832,46902,"Madison County, New York",36,053,2017
125,740253,357796,566216,123531,125989,194046,122650,566216,13520,36173,141807,117652,63249,109485,84330,545146,65573,479573,"Monroe County, New York",36,055,2017
126,1359571,660857,971873,183848,203439,356837,227749,971873,25247,36113,220341,176337,81639,246717,185479,956110,46618,909492,"Nassau County, New York",36,059,2017
127,1653585,782143,1198037,298619,324387,330663,244368,1198037,56862,73103,152392,155089,49461,387873,323257,1161584,165385,996199,"New York County, New York",36,061,2017
128,209347,102405,165485,30606,35572,61335,37972,165485,3741,11134,54880,36807,20543,21725,16655,162650,17801,144849,"Niagara County, New York",36,063,2017
129,223790,109028,174412,34042,36710,62114,41546,174412,6345,14093,54449,37603,22329,24634,14959,164058,20738,143320,"Oneida County, New York",36,065,2017
130,459928,221400,352423,75111,77062,124393,75857,352423,6367,23049,90109,75238,42146,66872,48642,335799,37398,298401,"Onondaga County, New York",36,067,2017
131,108993,52873,86045,15234,17443,32491,20877,86045,1247,4122,22826,15566,12340,18282,11662,83224,6468,76756,"Ontario County, New York",36,069,2017
132,373209,185217,267887,60146,59214,97804,50723,267887,5682,17862,78771,63292,24642,46928,30710,260249,21298,238951,"Orange County, New York",36,071,2017
133,117789,58893,92966,20756,19593,34109,18508,92966,2113,8615,33985,20604,12527,8513,6609,88690,12765,75925,"Oswego County, New York",36,075,2017
134,98902,48504,73446,12271,15702,29886,15587,73446,1119,3717,20725,13746,5734,16144,12261,72424,3903,68521,"Putnam County, New York",36,079,2017
135,2343840,1136426,1436762,312883,345795,478316,299768,1436762,86673,105527,377791,278038,116096,309535,163102,1422128,138533,1283595,"Queens County, New York",36,081,2017
136,157811,77200,125182,27008,28203,43380,26591,125182,2561,7649,36215,26355,15123,22347,14932,120547,12863,107684,"Rensselaer County, New York",36,083,2017
137,475080,229909,335702,67365,76737,120173,71427,335702,10650,19897,102177,68243,25224,67755,41756,330919,31603,299316,"Richmond County, New York",36,085,2017
138,326784,160029,210627,45873,43633,73074,48047,210627,4441,13504,48960,41428,17163,47362,37769,207348,17995,189353,"Rockland County, New York",36,087,2017
139,106149,53175,85576,20998,18069,28444,18065,85576,3669,6323,30717,18578,8258,9007,9024,75678,10899,64779,"St. Lawrence County, New York",36,089,2017
140,226862,111075,176692,29971,39936,67075,39710,176692,2408,9208,42893,32263,20523,40214,29183,174122,10055,164067,"Saratoga County, New York",36,091,2017
141,153714,74008,117619,22233,27719,41811,25856,117619,2597,8207,35561,23643,16989,17990,12632,114061,12431,101630,"Schenectady County, New York",36,093,2017
142,95150,47338,73965,12808,15405,27383,18369,73965,2948,5288,28642,12468,9995,7760,6864,72976,8275,64701,"Steuben County, New York",36,101,2017
143,1481529,728884,1077837,206447,219844,414937,236609,1077837,28473,52435,290702,216390,104695,219636,165506,1061455,64386,997069,"Suffolk County, New York",36,103,2017
144,73262,36678,55580,9975,10845,21647,13113,55580,2153,5399,17249,8565,7285,9370,5559,53405,5298,48107,"Sullivan County, New York",36,105,2017
145,103943,51278,79367,29579,14173,21467,14148,79367,1009,3613,16344,19913,7279,16552,14657,67235,12847,54388,"Tompkins County, New York",36,109,2017
146,175174,85018,140745,26635,29811,51581,32718,140745,2712,8007,41932,30712,13888,24229,19265,134601,17564,117037,"Ulster County, New York",36,111,2017
147,103445,52207,77066,16129,17592,25706,17639,77066,1181,5019,18620,24801,7520,12607,7318,72494,8044,64450,"Yamhill County, Oregon",41,071,2017
148,101040,49901,78920,14871,15272,28780,19997,78920,2257,5550,31475,16199,6399,10485,6555,75349,5106,70243,"Adams County, Pennsylvania",42,001,2017
149,1208195,581860,959873,194616,218199,324131,222927,959873,13723,40668,267445,179621,90248,221912,146256,930284,92907,837377,"Allegheny County, Pennsylvania",42,003,2017
150,65109,32374,52983,8403,10887,19771,13922,52983,1108,4779,25823,8355,5146,5505,2267,52506,6147,46359,"Armstrong County, Pennsylvania",42,005,2017
151,164937,78934,132966,21794,27810,48159,35203,132966,1724,6928,52482,27789,13872,20299,9872,131000,13386,117614,"Beaver County, Pennsylvania",42,007,2017
152,412502,202667,308006,62391,67275,109294,69046,308006,11665,25975,114841,62280,23766,46339,23140,297077,28150,268927,"Berks County, Pennsylvania",42,011,2017
153,122070,60020,97571,17919,20456,34494,24702,97571,2147,6794,41798,18666,9131,13629,5406,95312,13229,82083,"Blair County, Pennsylvania",42,013,2017
154,623079,305342,480676,81013,101087,185212,113364,480676,6930,21384,137249,91691,34054,114236,75132,474367,24707,449660,"Bucks County, Pennsylvania",42,017,2017
155,185139,91985,147837,26693,31659,55239,34246,147837,1495,7023,48146,27508,14536,33183,15946,142899,11048,131851,"Butler County, Pennsylvania",42,019,2017
156,130092,62719,107016,19639,20334,37651,29392,107016,2226,7020,47663,17719,11814,13506,7068,101309,12289,89020,"Cambria County, Pennsylvania",42,021,2017
157,62946,30956,51039,7648,10619,19854,12918,51039,1534,3583,23428,9857,5667,4795,2175,50396,6166,44230,"Carbon County, Pennsylvania",42,025,2017
158,157116,80728,129054,47072,23772,36208,22002,129054,2361,4743,37422,32201,8757,26511,17059,111603,20057,91546,"Centre County, Pennsylvania",42,027,2017
159,514408,253352,375039,71155,82104,142331,79449,375039,6234,15748,87256,60160,22362,114128,69151,363108,22034,341074,"Chester County, Pennsylvania",42,029,2017
160,74416,36459,63190,10496,14001,22834,15859,63190,2428,5186,30866,8980,5477,7275,2978,59510,7684,51826,"Clearfield County, Pennsylvania",42,033,2017
161,65184,31527,53576,13547,10002,17805,12222,53576,548,4000,21366,12359,4146,6720,4437,49301,6714,42587,"Columbia County, Pennsylvania",42,037,2017
162,84713,42352,67871,12646,13428,24612,17185,67871,2877,4874,31959,11466,3604,8928,4163,64766,8341,56425,"Crawford County, Pennsylvania",42,039,2017
163,242836,117698,192241,38051,44741,64400,45049,192241,3863,10795,58335,38513,15694,38534,26507,179491,11078,168413,"Cumberland County, Pennsylvania",42,041,2017
164,272525,131216,205468,40210,48158,72000,45100,205468,4740,13865,75281,39294,15155,35461,21672,202383,20800,181583,"Dauphin County, Pennsylvania",42,043,2017
165,556749,266846,414045,86617,93927,145260,88241,414045,6215,17837,126988,83717,29231,86394,63663,395462,34383,361079,"Delaware County, Pennsylvania",42,045,2017
166,268124,131176,209948,44890,45638,72272,47148,209948,5632,13405,79488,38682,19305,35599,17837,198998,26053,172945,"Erie County, Pennsylvania",42,049,2017
167,127985,62112,105332,17329,21962,39576,26465,105332,2871,9004,49195,17876,7806,13792,4788,101898,14860,87038,"Fayette County, Pennsylvania",42,051,2017
168,152849,75312,117148,20431,26104,41165,29448,117148,2964,10693,48291,19604,9025,15175,11396,115593,10556,105037,"Franklin County, Pennsylvania",42,055,2017
169,83599,40833,68538,18537,12301,21838,15862,68538,2529,4058,27770,13872,6364,8496,5449,63309,7640,55669,"Indiana County, Pennsylvania",42,063,2017
170,206732,100470,161224,30696,34320,55884,40324,161224,2338,10380,58192,33743,12811,28211,15549,154195,18408,135787,"Lackawanna County, Pennsylvania",42,069,2017
171,537170,263366,402471,82452,91847,134730,93442,402471,29298,34334,141545,61496,29594,67942,38262,392808,32854,359954,"Lancaster County, Pennsylvania",42,071,2017
172,86103,41339,69372,11743,13456,25398,18775,69372,2211,4424,28261,13732,6195,10060,4489,67604,7707,59897,"Lawrence County, Pennsylvania",42,073,2017
173,138119,67640,104007,19094,22732,35203,26978,104007,3235,9621,44014,17356,8532,13920,7329,101015,10101,90914,"Lebanon County, Pennsylvania",42,075,2017
174,361245,177423,262471,52155,61773,91530,57013,262471,8969,19432,83575,51891,24795,45527,28282,254452,26090,228362,"Lehigh County, Pennsylvania",42,077,2017
175,309654,151510,244065,44917,51602,85810,61736,244065,5786,19398,93432,47594,23018,36057,18780,233421,24138,209283,"Luzerne County, Pennsylvania",42,079,2017
176,110734,55510,89308,18028,19356,30877,21047,89308,1418,6149,34401,18549,9270,13453,6068,83397,9125,74272,"Lycoming County, Pennsylvania",42,081,2017
177,107842,52176,89465,16456,17470,31931,23608,89465,2126,6210,38291,15674,6902,13948,6314,83519,8342,75177,"Mercer County, Pennsylvania",42,085,2017
178,166857,82426,128281,27839,24921,48660,26861,128281,2821,10964,45034,30544,10936,17550,10432,126201,7913,118288,"Monroe County, Pennsylvania",42,089,2017
179,811553,393294,611972,108454,139913,223196,140409,611972,6760,22021,149824,103161,42091,167640,120475,592381,29834,562547,"Montgomery County, Pennsylvania",42,091,2017
180,300797,148297,235133,46693,50384,82032,56024,235133,6146,13958,81673,48464,20039,41897,22956,226298,18698,207600,"Northampton County, Pennsylvania",42,095,2017
181,88199,43390,73837,12685,15674,26360,19118,73837,1804,7865,37348,10271,5404,8306,2839,70253,9629,60624,"Northumberland County, Pennsylvania",42,097,2017
182,1566792,740874,1145628,297134,296528,347686,204280,1145628,43347,106547,416511,214295,64856,184448,115624,1111000,263653,847347,"Philadelphia County, Pennsylvania",42,101,2017
183,135569,67659,113845,18214,25623,41381,28627,113845,2739,9544,52736,19095,11681,13082,4968,107036,10300,96736,"Schuylkill County, Pennsylvania",42,107,2017
184,69619,34599,60397,9728,12640,21779,16250,60397,2189,5135,31027,9419,4278,5864,2485,55540,5660,49880,"Somerset County, Pennsylvania",42,111,2017
185,205390,100916,165630,29056,34346,60927,41301,165630,2622,9390,61005,29560,15582,31762,15709,161234,13166,148068,"Washington County, Pennsylvania",42,125,2017
186,349534,170291,286069,45082,56177,107250,77560,286069,5080,12165,103319,53411,30086,53918,28090,280077,26475,253602,"Westmoreland County, Pennsylvania",42,129,2017
187,440759,216942,340163,61237,77705,126034,75187,340163,9266,27640,131673,57190,33078,54470,26846,332993,26522,306471,"York County, Pennsylvania",42,133,2017
188,162523,77803,128374,21591,28834,48308,29641,128374,3631,7618,35774,26384,14046,26645,14276,127385,9204,118181,"Kent County, Rhode Island",44,003,2017
189,79713,38345,67225,12893,13416,23683,17233,67225,969,2990,15546,14144,3748,18388,11440,63448,3833,59615,"Newport County, Rhode Island",44,005,2017
190,628417,304870,455697,108184,104637,151565,91311,455697,19360,35067,152870,95079,32316,77697,43308,433383,50640,382743,"Providence County, Rhode Island",44,007,2017
191,125209,61033,103062,25289,16619,36841,24313,103062,1868,3727,24962,25683,8755,23339,14728,97378,8015,89363,"Washington County, Rhode Island",44,009,2017
192,166446,79978,127199,23673,27447,44325,31754,127199,3907,10376,43315,28088,9928,20400,11185,125114,14843,110271,"Aiken County, South Carolina",45,003,2017
193,197407,95632,151819,29561,33957,52609,35692,151819,6287,17135,49665,33613,16559,19262,9298,149764,18606,131158,"Anderson County, South Carolina",45,007,2017
194,179788,84644,144062,27462,25454,42427,48719,144062,1854,8823,35691,28481,14518,31631,23064,139431,10959,128472,"Beaufort County, South Carolina",45,013,2017
195,211581,102302,159692,34895,42543,52338,29916,159692,4410,13058,47355,43611,14703,23862,12693,155789,14685,141104,"Berkeley County, South Carolina",45,015,2017
196,394779,189302,310572,68828,78744,100249,62751,310572,5932,14990,76567,66434,20969,81576,44104,300219,31420,268799,"Charleston County, South Carolina",45,019,2017
197,66589,31423,51661,9970,11370,17885,12436,51661,2078,5334,17843,12314,3021,7327,3744,50615,8875,41740,"Darlington County, South Carolina",45,031,2017
198,153924,74362,115045,23555,30684,40718,20088,115045,2886,8754,31666,26726,13706,20522,10785,113389,9970,103419,"Dorchester County, South Carolina",45,035,2017
199,137105,64561,103139,20815,24035,35620,22669,103139,4448,14163,31573,20288,9736,15041,7890,100187,14738,85449,"Florence County, South Carolina",45,041,2017
200,502457,243023,367110,75807,88518,125952,76833,367110,9214,29966,91624,82790,35252,73875,44389,356869,34991,321878,"Greenville County, South Carolina",45,045,2017
201,69272,32051,53906,11314,11773,18019,12800,53906,2345,5629,16895,10299,6911,6923,4904,51685,7756,43929,"Greenwood County, South Carolina",45,047,2017
202,331280,158577,262078,43681,51683,89879,76835,262078,5719,17385,89575,66581,25498,38519,18801,257815,32922,224893,"Horry County, South Carolina",45,051,2017
203,64693,31732,49330,8774,11613,17416,11527,49330,1631,3128,16733,11926,5505,6358,4049,49110,6999,42111,"Kershaw County, South Carolina",45,055,2017
204,90412,41887,70494,11265,15940,24098,19191,70494,2990,7727,21835,13049,6813,12087,5993,68501,8941,59560,"Lancaster County, South Carolina",45,057,2017
205,65704,32524,51292,10250,10914,18093,12035,51292,2555,6866,18710,11905,3498,5153,2605,49344,10694,38650,"Laurens County, South Carolina",45,059,2017
206,287456,139352,214983,40725,53520,76752,43986,214983,4395,18006,67516,45529,18034,40928,20575,211974,19732,192242,"Lexington County, South Carolina",45,063,2017
207,76721,38065,60927,10366,11063,21814,17684,60927,2661,5627,18088,12166,7036,9218,6131,60383,9184,51199,"Oconee County, South Carolina",45,073,2017
208,86825,40035,67364,14681,13930,22096,16657,67364,3287,7700,17454,15555,11053,7132,5183,65048,13448,51600,"Orangeburg County, South Carolina",45,075,2017
209,122825,61216,97235,28889,19072,29458,19816,97235,3922,10021,24100,29016,10460,12324,7392,91192,15013,76179,"Pickens County, South Carolina",45,077,2017
210,389480,184069,311742,94464,74463,92399,50416,311742,5280,20452,80558,87624,19513,61440,36875,284356,45621,238735,"Richland County, South Carolina",45,079,2017
211,302558,146123,226617,49260,50774,78350,48233,226617,8810,19420,65460,55789,24103,33573,19462,219747,25455,194292,"Spartanburg County, South Carolina",45,083,2017
