,B27001_001E,B27001_002E,B29001_001E,B29001_002E,B29001_003E,B29001_004E,B29001_005E,B29002_001E,B29002_002E,B29002_003E,B29002_004E,B29002_005E,B29002_006E,B29002_007E,B29002_008E,B29003_001E,B29003_002E,B29003_003E,NAME,state,county,year
742,164332,81500,114927,23574,24836,32370,34147,114927,2734,6414,27086,36675,13332,18596,10090,113661,12196,101465,"Washington County, Utah",49,053,2017
743,249018,124337,170002,43080,48063,51051,27808,170002,3765,10797,52301,47451,16364,26772,12552,167712,16267,151445,"Weber County, Utah",49,057,2017
744,161090,79110,126807,36519,26688,40114,23486,126807,1298,4975,27473,28861,10866,33027,20307,117897,13547,104350,"Chittenden County, Vermont",50,007,2017
745,106302,50558,79725,18584,17347,25671,18123,79725,1069,4020,16591,15061,3578,23950,15456,74122,5086,69036,"Albemarle County, Virginia",51,003,2017
746,230173,112579,166438,40726,54713,47974,23025,166438,2916,3042,13311,12226,5839,65555,63549,163672,7636,156036,"Arlington County, Virginia",51,013,2017
747,71433,35387,59414,9517,12517,21822,15558,59414,1629,5667,26636,9786,3642,6835,5219,55922,5434,50488,"Augusta County, Virginia",51,015,2017
748,77627,38363,62204,9703,10987,24517,16997,62204,1916,2969,22657,13643,5509,9599,5911,61855,4529,57326,"Bedford County, Virginia",51,019,2017
749,341164,163373,248531,46190,61524,92218,48599,248531,3192,13666,61116,55759,21812,60268,32718,245482,13800,231682,"Chesterfield County, Virginia",51,041,2017
750,1135458,559678,733167,135145,186786,272427,138809,733167,13870,20280,99991,111598,40199,233822,213407,726140,32726,693414,"Fairfax County, Virginia",51,059,2017
751,69022,34075,51127,8696,11893,19525,11013,51127,1090,2095,15137,10876,5215,11338,5376,50833,1929,48904,"Fauquier County, Virginia",51,061,2017
752,84921,41508,63736,10731,13954,24741,14310,63736,2269,4064,20445,14338,6069,10266,6285,62368,3873,58495,"Frederick County, Virginia",51,069,2017
753,105433,52366,81556,14060,17306,32110,18080,81556,1176,4807,22926,17192,6357,19730,9368,79963,4487,75476,"Hanover County, Virginia",51,085,2017
754,325028,153254,233865,44631,57797,83754,47683,233865,5046,11868,52868,48856,16800,58475,39952,231666,17047,214619,"Henrico County, Virginia",51,087,2017
755,74499,35339,58114,9443,11218,19361,18092,58114,1027,2505,10203,12367,4707,15127,12178,57326,3666,53660,"James City County, Virginia",51,095,2017
756,395408,195201,245492,42760,75650,94411,32671,245492,4107,7472,35540,41027,13444,84781,59121,244440,6649,237791,"Loudoun County, Virginia",51,107,2017
757,97947,51441,79906,34850,14440,19095,11521,79906,649,4063,17682,29703,3434,13784,10591,70798,19079,51719,"Montgomery County, Virginia",51,121,2017
758,455584,225731,287496,57989,83601,104881,41025,287496,8349,13238,61886,64171,24643,68310,46899,283317,12381,270936,"Prince William County, Virginia",51,153,2017
759,92091,43605,73488,12858,15538,25288,19804,73488,1916,3621,19324,16387,7879,17120,7241,71429,5221,66208,"Roanoke County, Virginia",51,161,2017
760,79830,39308,60127,12039,12706,20601,14781,60127,4880,5249,22833,10057,3518,7953,5637,58535,3567,54968,"Rockingham County, Virginia",51,165,2017
761,132144,65202,97016,19182,24207,35668,17959,97016,1864,6395,27684,22833,8131,19565,10544,96700,4994,91706,"Spotsylvania County, Virginia",51,177,2017
762,140748,69461,102849,22859,27858,37505,14627,102849,1745,4941,24080,24566,8727,23903,14887,99160,3244,95916,"Stafford County, Virginia",51,179,2017
763,63679,29696,49556,9084,12866,17937,9669,49556,405,1788,10042,11388,4758,12724,8451,47779,2364,45415,"York County, Virginia",51,199,2017
764,157046,74515,106121,19433,38189,31834,16665,106121,1376,3135,10466,14311,5490,35408,35935,105080,4851,100229,"Alexandria city, Virginia",51,510,2017
765,228506,107401,177079,36355,46646,63323,30755,177079,1632,8273,44670,47816,16555,35554,22579,173285,11139,162146,"Chesapeake city, Virginia",51,550,2017
766,129907,61899,104512,26554,24964,32822,20172,104512,1767,6664,29582,33705,8154,14746,9894,100191,13030,87161,"Hampton city, Virginia",51,650,2017
767,79247,35866,62834,26544,11088,14000,11202,62834,1756,4058,15440,19824,5268,11049,5439,53064,8788,44276,"Lynchburg city, Virginia",51,680,2017
768,168522,77582,133298,36004,34265,40872,22157,133298,3279,7280,39106,40018,13081,20557,9977,124626,18095,106531,"Newport News city, Virginia",51,700,2017
769,215506,105513,189629,69075,44581,49581,26392,189629,4181,15176,48842,59681,16122,29725,15902,164412,29355,135057,"Norfolk city, Virginia",51,710,2017
770,88942,41270,71325,16524,18272,22693,13836,71325,2284,5378,22694,20601,5884,9700,4784,68089,8914,59175,"Portsmouth city, Virginia",51,740,2017
771,224644,104877,177837,52943,44296,51974,28624,177837,5510,16053,40705,45392,6712,39393,24072,169249,35376,133873,"Richmond city, Virginia",51,760,2017
772,98667,47219,73669,13652,18745,24760,16512,73669,3760,6878,22607,16113,8035,9564,6712,72420,12775,59645,"Roanoke city, Virginia",51,770,2017
773,88326,42226,66621,12495,17110,24318,12698,66621,2061,5477,20273,16367,5942,9375,7126,66280,5537,60743,"Suffolk city, Virginia",51,800,2017
774,430046,204436,334824,76838,89989,108736,59261,334824,5229,15179,77295,91776,35708,70562,39075,325880,20752,305128,"Virginia Beach city, Virginia",51,810,2017
775,196664,97992,133061,28191,33221,44777,26872,133061,2955,8842,34042,36899,12995,23053,14275,131942,13569,118373,"Benton County, Washington",53,005,2017
776,75927,38047,51464,9470,10658,18237,13099,51464,1608,5130,13330,12992,4499,8997,4908,50870,7689,43181,"Chelan County, Washington",53,007,2017
777,74486,36112,60972,8457,10791,20210,21514,60972,939,3986,17274,17988,5900,8150,6735,60154,9353,50801,"Clallam County, Washington",53,009,2017
778,472247,233127,341307,65548,85468,121026,69265,341307,4545,17745,85135,94666,38403,66303,34510,338848,28792,310056,"Clark County, Washington",53,011,2017
779,105880,52399,80837,13918,17904,29503,19512,80837,1381,7868,24246,26053,8301,7649,5339,79939,12993,66946,"Cowlitz County, Washington",53,015,2017
780,90048,45530,47680,12757,13589,13879,7455,47680,1958,2944,14068,14974,4861,6588,2287,45639,3599,42040,"Franklin County, Washington",53,021,2017
781,94224,47922,55309,13577,11604,17928,12200,55309,2253,6282,17065,14463,5162,6638,3446,54728,5029,49699,"Grant County, Washington",53,025,2017
782,69669,34584,55403,9036,11603,19671,15093,55403,1186,3916,19799,16699,6336,5113,2354,52805,7983,44822,"Grays Harbor County, Washington",53,027,2017
783,77764,37192,65658,13448,12988,19600,19622,65658,610,2645,16297,20848,5635,11988,7635,63418,6197,57221,"Island County, Washington",53,029,2017
784,2175595,1089309,1495733,312492,405098,509760,268383,1495733,29410,55369,245449,314199,128694,459970,262642,1474580,112312,1362268,"King County, Washington",53,033,2017
785,252254,122907,206075,45583,46254,68161,46077,206075,3347,10460,51000,60616,19457,39276,21919,199567,14206,185361,"Kitsap County, Washington",53,035,2017
786,77279,38090,58798,9941,12641,20203,16013,58798,1573,5194,17180,17264,7795,5470,4322,58048,7787,50261,"Lewis County, Washington",53,041,2017
787,854436,421393,638492,142926,167369,213420,114777,638492,9611,42108,191455,168803,72155,100928,53432,625767,56489,569278,"Pierce County, Washington",53,053,2017
788,124002,60748,90792,15269,19674,30555,25294,90792,1309,5200,24543,24449,10677,15830,8784,89837,8043,81794,"Skagit County, Washington",53,057,2017
789,792708,395166,566885,110665,150391,205006,100823,566885,7827,30533,140629,157104,63655,119145,47992,559212,35696,523516,"Snohomish County, Washington",53,061,2017
790,497964,243791,381945,84898,92411,126941,77695,381945,5635,17965,90477,109011,51729,68903,38225,369648,48119,321529,"Spokane County, Washington",53,063,2017
791,274252,130623,210539,40835,54164,68449,47091,210539,3525,8953,46963,60088,21963,43426,25621,208035,20074,187961,"Thurston County, Washington",53,067,2017
792,220208,108736,168060,44581,37376,50606,35497,168060,2114,6311,35872,49394,20995,37931,15443,163329,22429,140900,"Whatcom County, Washington",53,073,2017
793,247011,122798,147696,37581,32001,46614,31500,147696,7543,19373,42914,37035,13402,17059,10370,145178,18615,126563,"Yakima County, Washington",53,077,2017
794,114129,56298,85235,16444,21957,30495,16339,85235,3114,5717,31931,20237,7554,12145,4537,84949,8621,76328,"Berkeley County, West Virginia",54,003,2017
