,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,68212,13084,139086,30075,632,3950,62238,111782,74093,56783,79603,68895,235,125,4200,1527,4947,60764,43915,33165,2488,8262,16849,12911,143408,30398,42809,8162,1499,5141,0,283,78438,,,1676,1815,897,695,1028,59,150,153507,5228,2237,700,22725,84276,"Onslow County, North Carolina",37,133,2013
1,46500,5700,105229,16433,431,10149,61934,60342,44983,51620,52377,46746,4891,968,4590,763,4722,51867,32051,25598,1223,5230,19816,14426,116435,21050,28953,2478,882,3203,0,330,72509,,,4119,862,1036,505,546,197,161,139617,4500,1589,5152,4964,106831,"Orange County, North Carolina",37,135,2013
2,47273,5283,102436,59315,539,3211,123323,42014,59170,69996,,,,,,,,67573,40082,26406,2842,10834,27491,21170,141839,29171,29730,2194,1097,5820,69,525,87730,,,7379,2067,1787,1033,920,179,295,173155,6937,5178,2109,10018,125619,"Pitt County, North Carolina",37,147,2013
3,55765,8485,127316,8788,365,1653,99261,31675,47474,51413,,,,,,,,52337,37344,28280,2956,6108,14993,12019,114550,15619,32209,2895,1472,6562,0,276,69737,,,1770,1595,1522,2450,1227,558,233,141436,3714,4950,421,10089,98779,"Randolph County, North Carolina",37,151,2013
4,16882,5922,40766,32589,51313,1027,109114,18282,43269,50030,,,,,,,,45641,31283,17416,2500,11367,14358,12445,105498,21345,21482,3294,1566,5665,159,1013,67492,,,3121,1543,1500,1371,1629,785,229,132822,7358,4919,288,6930,92628,"Robeson County, North Carolina",37,155,2013
5,32685,,69528,16661,474,376,71239,17013,32496,36839,,,,,,,,37261,25326,17888,1800,5638,11935,9829,75939,10041,20632,2256,1373,4234,0,331,45735,,,851,1245,771,1557,660,346,435,90875,4353,2497,392,6120,66436,"Rockingham County, North Carolina",37,157,2013
6,49675,6241,107903,22711,461,1519,98902,32349,48640,51454,,,,,,,,50249,33641,24985,2204,6452,16608,15183,112281,18546,28811,3081,1235,6522,122,533,67039,,,1085,893,1405,1613,1043,229,295,135836,5090,4244,614,8840,97466,"Rowan County, North Carolina",37,159,2013
7,27201,,57251,7079,123,118,49998,14711,23931,26643,,,,,,,,26213,18446,13656,936,3854,7767,6578,55308,7934,14681,824,1324,2668,,,,,,1560,649,338,1703,966,119,153,66168,2908,2230,519,4540,48071,"Rutherford County, North Carolina",37,161,2013
8,29838,,67447,2956,325,366,52701,15855,25103,27614,,,,,,,,30156,20175,14985,1446,3744,9981,8679,59437,8183,16357,1590,1060,3272,45,277,35974,,,314,1236,633,358,1099,429,263,72314,2901,2320,311,5176,51498,"Surry County, North Carolina",37,171,2013
9,76893,11871,171655,26207,576,4374,104741,86800,64177,69991,90476,81338,537,192,1007,402,6854,69841,55162,43933,3163,8066,14679,11927,161763,21582,50264,3787,1186,5968,46,715,103617,,,928,872,1065,876,701,133,394,211827,2469,2142,4619,13051,137651,"Union County, North Carolina",37,179,2013
