,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,31473,,66140,6236,155,304,43154,28607,27922,28960,,,,,,,,30688,20997,15512,1154,4331,9691,7982,61956,7740,17439,1523,856,4002,0,36,36977,,,1084,863,727,1110,563,184,164,73934,2482,2292,525,6734,52271,"Oconee County, South Carolina",45,073,2012
1,14987,,31838,56989,139,887,71550,17547,31071,37173,,,,,,,,34286,22955,13336,1829,7790,11331,10249,73805,13639,16709,2995,1187,2413,514,1792,46513,,,1120,919,210,1015,755,536,291,90679,5450,2772,109,6942,63520,"Orangeburg County, South Carolina",45,075,2012
2,51408,,105468,8200,538,2339,75272,39590,45482,46867,,,,,,,,44473,29627,23529,2443,3655,14846,11040,99920,18608,25123,1300,1567,3742,0,140,58467,,,4736,1297,542,1144,602,389,218,118916,4271,3640,480,8340,87515,"Pickens County, South Carolina",45,077,2012
3,87439,10688,182639,182474,543,9314,233317,134498,138588,149055,162831,149255,2174,533,13105,4111,5365,141771,86665,56896,5801,23968,55106,44503,319920,67643,69644,11370,3436,13736,396,2646,196513,,,6241,3132,1450,1778,1858,1064,324,369205,11249,7980,4106,34216,258010,"Richland County, South Carolina",45,079,2012
4,97349,9483,207181,58827,506,6229,185733,80797,94702,106334,109979,96282,263,179,1896,930,3718,108569,74543,51087,5796,17660,34026,27479,230925,35632,59273,7900,3190,12165,178,1584,142764,,,3274,2694,1776,2505,3029,1773,394,284475,10532,7663,1537,22539,196539,"Spartanburg County, South Carolina",45,083,2012
5,25107,,51022,48602,90,1479,68213,33838,37451,40649,,,,,,,,40321,28283,18541,1987,7755,12038,9714,86224,14858,22178,3015,1350,2764,41,647,53658,,,920,753,762,1380,578,190,65,104522,3628,2388,450,13227,66481,"Sumter County, South Carolina",45,085,2012
6,82442,6074,177793,42894,1624,2881,95548,126478,77560,88185,98215,87635,402,95,903,1117,4716,87424,62976,46194,3423,13359,24448,20191,185316,27561,50754,3582,1452,8057,156,1227,117363,,,2481,1004,1072,1561,1680,513,390,233074,6520,3892,3087,17888,157820,"York County, South Carolina",45,091,2012
7,73548,4115,151884,7481,5105,3292,106401,56775,60342,62284,87057,80031,938,208,2260,1221,3406,67390,41936,30066,2811,9059,25454,21063,138308,26034,33049,2404,1218,8287,0,1277,84062,,,1484,1364,670,779,647,282,350,172083,3470,2490,1579,12507,118392,"Minnehaha County, South Dakota",46,099,2012
8,42322,,87602,1135,7838,1286,61582,40245,38246,38954,,,,,,,,40455,25286,18442,2076,4768,15169,12610,82150,13349,20239,1839,1013,6088,32,708,50427,,,869,858,293,449,502,223,85,101945,2716,1380,1219,10950,67419,"Pennington County, South Dakota",46,103,2012
9,32842,,69527,2362,300,993,49287,23792,27108,29844,,,,,,,,31019,19779,14329,1682,3768,11240,10549,61284,9187,16511,1276,725,3214,238,171,37309,,,880,680,832,823,935,27,0,74580,3285,2112,687,6932,51658,"Anderson County, Tennessee",47,001,2012
