,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,85645,,183893,20030,2172,2485,112198,86773,75388,81027,,,,,,,,79120,52398,42161,2466,7771,26722,23704,174771,26120,45388,3297,3386,9911,0,362,104551,,,1001,785,573,1037,1276,436,91,210224,3275,4596,3151,17090,149297,"Baldwin County, Alabama",01,003,2017
1,40139,,85146,24183,254,1176,81491,28379,40984,45606,,,,,,,,44507,28859,20663,2142,6054,15648,12770,94269,14252,23151,2077,2029,5228,,,57874,,,1025,1179,668,764,724,390,97,113033,3494,4366,1070,9903,79549,"Calhoun County, Alabama",01,015,2017
2,37580,,78414,1076,0,414,61663,18837,30455,32356,,,,,,,,30740,20230,15830,1210,3190,10510,9300,68126,9737,18233,1656,1211,4445,,,40578,,,611,948,327,327,1103,237,98,81881,2346,2456,321,4122,60541,"Cullman County, Alabama",01,043,2017
3,28134,,61603,1109,762,0,47513,18019,23498,25717,,,,,,,,25848,18448,13554,1890,3004,7400,6633,57171,7828,15458,1612,1176,3312,0,110,,,,589,350,1494,346,558,558,366,70863,2008,1943,662,4202,50175,"DeKalb County, Alabama",01,049,2017
4,28557,,60736,18092,304,400,57558,21504,29357,32664,,,,,,,,29176,20890,15740,2207,2943,8286,7403,67089,11092,15550,763,245,4981,,,40856,,,167,430,474,264,350,154,0,76213,2328,1536,1296,8049,55038,"Elmore County, Alabama",01,051,2017
5,38878,,82298,16066,1018,727,78340,20840,37183,41141,,,,,,,,37091,23036,16537,1852,4647,14055,13070,84436,13330,18454,1500,2353,5867,52,651,51882,,,1217,840,579,1008,804,101,90,101960,3371,3063,733,7397,72964,"Etowah County, Alabama",01,055,2017
6,33688,1902,72703,27957,125,851,70706,30729,36768,41660,43622,40520,32,62,159,443,824,39106,25765,18613,1365,5787,13341,11738,84547,12443,21261,2403,1685,4462,11,538,52570,,,616,850,678,470,913,292,226,103579,3031,2421,1405,7405,72663,"Houston County, Alabama",01,069,2017
7,158450,13564,340995,283700,1203,12201,492950,133457,222901,260706,272300,244508,3415,602,4853,2738,10954,259324,160286,103251,11599,45436,99038,83177,532961,95650,118849,11488,6606,26243,258,2448,334809,,,6238,5234,4644,5083,5499,1958,1131,652276,21819,15861,14313,36186,471469,"Jefferson County, Alabama",01,073,2017
8,54305,,113361,35563,212,6452,81415,67935,56840,61727,,,,,,,,58555,35362,25256,2288,7818,23193,16776,132624,28924,28121,1899,1394,5998,0,305,79900,,,4904,1429,1172,386,701,513,396,159847,6846,1793,1966,10442,115838,"Lee County, Alabama",01,081,2017
9,36016,,76611,12971,901,1677,62091,27734,35745,35634,,,,,,,,32816,23520,18118,1152,4250,9296,8628,77546,14374,20518,1441,449,3478,0,671,44568,,,421,110,555,448,567,257,69,91288,2411,1200,1486,6467,66655,"Limestone County, Alabama",01,083,2017
10,115768,9486,244908,87843,2357,10285,193433,140334,126685,135420,162978,153044,726,380,1495,2598,6161,147892,96161,71370,5174,19617,51731,43588,295575,43946,80617,6389,3549,15003,0,1302,178465,,,3765,2926,1788,849,1672,269,357,355634,7342,9620,9117,32639,247698,"Madison County, Alabama",01,089,2017
11,37237,6254,88908,2140,670,687,65272,22568,31082,34039,,,,,,,,34083,23995,19354,1242,3399,10088,9087,75721,9467,20905,948,1078,4930,0,46,47754,,,596,808,1431,316,1221,353,292,94754,3371,2941,1063,5786,66084,"Marshall County, Alabama",01,095,2017
12,114409,5800,244012,147234,3410,7504,309330,88471,141994,162592,159109,148621,954,63,1534,1417,7647,154683,99174,66763,5605,26806,55509,48090,333554,58041,74931,6183,4244,18786,106,1700,210782,,,4216,5096,2507,2422,2613,1637,838,409996,16102,8257,5272,27668,287808,"Mobile County, Alabama",01,097,2017
13,37414,3768,82146,131468,311,6747,163591,48531,75256,88250,92041,84127,649,41,1440,604,3730,88554,54534,32020,4537,17977,34020,29636,182224,36398,35683,3931,3027,9315,220,2169,115222,,,2466,2410,966,1308,1348,694,695,221441,9167,5605,2963,16607,155067,"Montgomery County, Alabama",01,101,2017
14,43972,5806,95425,15143,678,760,85048,27077,42307,45116,,,,,,,,45360,31040,23573,1275,6192,14320,12031,96713,16051,25263,1205,1707,4587,43,211,56859,,,392,1172,881,988,469,457,316,116784,2841,3160,1232,7896,84004,"Morgan County, Alabama",01,103,2017
