,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,39306,3633,,,,,76211,29827,38237,41122,,,,,,,,38674,25566,17684,2088,5794,13108,11371,87430,14990,20688,2141,1033,5034,0,227,54014,,,2101,791,1042,1201,941,127,177,109738,4261,2585,705,6749,76472,"Carroll County, Georgia",13,045,2011
1,66542,7905,147954,107244,105,6674,152040,93159,90748,99848,106096,94891,3133,923,2282,969,3780,100091,60698,41453,4058,15187,39393,32435,219492,41929,48584,4502,2899,11704,0,1479,135027,,,4028,3018,2230,2107,2197,705,499,264235,9891,5975,3560,25149,181739,"Chatham County, Georgia",13,051,2011
2,86288,11477,187708,13802,840,3711,105137,91137,68501,72907,,,,,,,,77388,56804,43654,3016,10134,20584,17666,168433,23706,48845,3100,1748,7510,0,637,106620,,,674,1542,572,999,970,280,122,217528,3994,2681,2732,14226,145241,"Cherokee County, Georgia",13,057,2011
3,32632,6108,78325,29726,171,4814,68238,35892,40288,45638,39194,33839,2380,1409,3112,722,1964,40177,20130,12052,1201,6877,20047,13015,100471,29206,14444,1377,927,2687,143,216,59349,,,9112,1784,848,1194,417,234,366,116407,9392,3055,1182,5901,91506,"Clarke County, Georgia",13,059,2011
4,21074,19215,61374,173552,682,12978,128876,86301,66193,82234,99029,85463,2830,437,1814,1487,828,86747,56599,30297,6346,19956,30148,25511,197629,41963,39644,7739,1558,9518,192,1540,128337,,,4134,3178,3475,3020,2019,373,544,259103,9957,6789,332,17056,168556,"Clayton County, Georgia",13,063,2011
5,190401,46881,442684,179411,2297,30660,278585,302595,200343,223995,308470,271963,4770,1074,3738,4157,22635,260577,174177,129089,11253,33835,86400,68187,550198,93150,144897,13220,4587,22827,219,1084,344153,,,5426,5050,4107,4398,3173,1744,414,692209,15511,10197,15357,44904,475143,"Cobb County, Georgia",13,067,2011
6,45853,,97195,21259,299,5555,64178,52747,40846,45664,,,,,,,,47312,36475,27832,2349,6294,10837,10063,99823,13001,31527,2798,474,2965,28,127,63191,,,588,297,647,225,119,152,28,126320,1398,1282,1796,14167,78399,"Columbia County, Georgia",13,073,2011
7,46021,,101851,23235,169,2517,73331,46962,42119,45172,,,,,,,,47424,35254,28726,831,5697,12170,9584,101082,13478,30365,1685,1108,3779,0,1518,62874,,,1895,1805,796,962,320,293,73,129198,3898,1814,944,10525,84709,"Coweta County, Georgia",13,077,2011
8,102045,38682,245747,373305,2234,36004,323884,250992,191696,235778,263634,227748,29984,1276,6237,3831,13511,262162,153411,93244,14715,45452,108751,90080,558632,116560,115583,16396,5496,25666,625,3859,348177,,,7280,10148,4673,5394,4920,1659,703,689418,22062,14303,10717,39226,493229,"DeKalb County, Georgia",13,089,2011
9,13057,,28633,63733,55,470,72608,20011,,,,,,,,,,36123,21849,11156,1633,9060,14274,12225,74627,16519,13186,1616,747,2947,69,1028,48677,,,2221,1343,1373,948,877,267,140,93348,6843,2768,223,7259,63322,"Dougherty County, Georgia",13,095,2011
