,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
421,55948,8331,124554,8662,666,1470,101483,31583,49293,51250,,,,,,,,53711,37266,27025,3428,6813,16445,13972,114777,15814,30893,2897,1992,7194,367,821,70721,,,730,1569,733,1103,970,988,147,141632,2755,4171,693,9251,99535,"Randolph County, North Carolina",37,151,2014
422,17423,5368,40823,32969,50802,899,107538,19961,43785,49900,,,,,,,,46484,31852,18783,2994,10075,14632,12895,105783,20649,22802,3153,1601,5213,61,1148,66688,,,2590,1953,1986,1344,1319,667,121,133062,7645,4687,495,6536,93309,"Robeson County, North Carolina",37,155,2014
423,32218,,69677,17304,143,646,66516,21540,33408,36125,,,,,,,,36879,25215,17691,1766,5758,11664,10309,75755,11496,20101,2296,1346,3297,49,532,46300,,,1024,1202,755,782,772,287,53,90648,3242,2744,291,7523,64805,"Rockingham County, North Carolina",37,157,2014
424,49661,6315,108863,23049,96,1382,95799,36565,49815,52522,,,,,,,,52294,36405,26609,2298,7498,15889,13710,112778,17346,30895,4319,2447,4745,102,444,67204,,,638,1476,1040,1146,877,410,323,136167,4563,3475,1340,10523,96568,"Rowan County, North Carolina",37,159,2014
425,29779,3390,67414,3299,350,261,51052,17476,25753,27928,,,,,,,,27632,19246,14829,1432,2985,8386,7226,60049,8441,15979,1728,1287,3042,73,166,,,,901,489,693,602,757,667,182,72172,3254,1892,361,4733,52026,"Surry County, North Carolina",37,171,2014
426,78618,11971,177525,25460,1435,4519,110097,89925,67838,72343,88929,81367,639,132,1694,911,7864,71569,56068,44328,4033,7707,15501,13383,167189,25368,47777,2440,2670,5629,0,388,106419,,,1292,1581,927,752,1075,133,218,217658,2986,1803,4632,10805,145250,"Union County, North Carolina",37,179,2014
427,297963,50961,667782,203155,3480,62548,441316,415177,298552,333489,456664,409383,6245,1238,7320,5987,38278,370061,245693,184986,15572,45135,124368,99038,789563,136423,207142,18551,8343,28101,180,2537,493348,45681,31861,10657,5636,5852,4132,3546,1078,614,990283,16274,15962,27940,50765,697162,"Wake County, North Carolina",37,183,2014
428,33821,6421,70999,40185,26,1732,82899,28020,41041,43657,,,,,,,,46281,31511,20332,2290,8889,14770,13092,98995,18421,23473,2657,1546,4844,193,525,60438,,,1664,1686,1623,1290,1088,465,143,120603,4411,3864,699,12452,79574,"Wayne County, North Carolina",37,191,2014
429,18702,,41486,32317,54,741,61497,13950,26161,31233,,,,,,,,32691,22002,13080,1995,6927,10689,9115,65281,11141,14497,992,1314,3007,0,289,42154,,,562,570,650,1192,538,260,119,80260,3001,2867,469,4432,57632,"Wilson County, North Carolina",37,195,2014
430,40624,,83174,442,3724,205,67474,21186,33904,34782,,,,,,,,38892,25652,20323,1336,3993,13240,9268,73623,11668,21404,833,779,2431,47,328,43676,,,407,1006,350,629,232,181,24,88504,2152,1109,2626,5424,64177,"Burleigh County, North Dakota",38,015,2014
431,74346,,149268,6456,2062,4603,98977,56757,60441,60140,86754,79730,1543,435,2212,844,2378,69621,39205,30457,2516,6232,30416,23489,135254,29002,32041,1450,553,5835,65,641,80234,,,2745,951,611,593,762,415,312,165832,4025,2855,4005,8683,121187,"Cass County, North Dakota",38,017,2014
