,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,66926,9823,135303,29556,1237,3665,60734,106908,68876,57989,,,,,,,,60242,44088,32596,1878,9614,16154,12948,139857,26994,40734,7012,1357,6269,133,474,78109,,,1897,919,422,613,552,504,141,144808,4812,2433,719,21491,79053,"Onslow County, North Carolina",37,133,2010
1,45160,,103665,16095,222,9187,62214,51781,41598,48597,47558,41655,5165,1637,3274,717,3965,50747,30088,24037,1622,4429,20659,15607,110899,22226,25539,2214,688,3696,0,205,68355,,,2316,1441,1859,1105,360,510,0,133226,5466,2898,4579,5513,100447,"Orange County, North Carolina",37,135,2010
2,46217,4900,99480,58036,450,2458,112377,46225,55579,67002,73648,64380,427,562,1990,458,1661,63823,36914,24935,1818,10161,26909,20774,137345,28311,28895,2985,1389,4827,0,679,86422,,,5243,1835,702,1169,818,536,190,166940,8490,4981,2006,9010,121871,"Pitt County, North Carolina",37,147,2010
3,56376,7647,125162,7320,612,1637,103671,28363,47687,51100,,,,,,,,54536,39622,30412,2295,6915,14914,12795,112837,16249,33173,1923,1883,4053,0,188,69492,,,1283,2128,1494,966,1054,382,475,139723,5383,4779,597,11606,95637,"Randolph County, North Carolina",37,151,2010
4,17594,,43669,32487,50146,1127,105443,19858,42155,48501,,,,,,,,43237,31273,18121,2298,10854,11964,10118,104194,21724,23422,3142,1311,3842,563,542,66477,,,3197,2814,1547,1147,726,542,290,132582,7041,3885,525,7184,91214,"Robeson County, North Carolina",37,155,2010
5,33056,,70766,17185,152,593,69406,20300,32923,37001,,,,,,,,36325,25415,18160,1948,5307,10910,10036,76757,11490,19883,1598,1108,3738,309,233,47515,,,616,1075,844,1133,751,657,150,92517,3130,3559,405,6662,66320,"Rockingham County, North Carolina",37,157,2010
6,49945,6057,105617,23372,815,1432,99169,31067,47405,51095,,,,,,,,53585,37266,28118,2257,6891,16319,13836,110754,15933,31587,3098,1654,4805,92,265,67206,,,2009,1325,1633,1126,1000,260,215,135902,6180,4564,772,8701,96886,"Rowan County, North Carolina",37,159,2010
7,30248,,67202,2190,574,344,54150,14648,24822,27447,,,,,,,,30000,20494,15665,1143,3686,9506,8714,59300,7224,17792,1901,700,2764,105,325,,,,227,636,1016,798,217,319,170,73085,3585,2295,149,4852,51471,"Surry County, North Carolina",37,171,2010
8,74129,10658,167229,22735,793,3107,107672,76475,60305,65974,,,,,,,,68404,55817,44099,4026,7692,12587,10113,151145,18547,47657,2803,1257,5526,58,737,98678,,,430,1119,214,650,734,78,249,201057,2328,2774,2508,13785,127449,"Union County, North Carolina",37,179,2010
9,276340,46672,622164,187646,2794,48923,395807,381613,266739,297455,397119,359221,4626,1479,5561,4586,27582,338054,221603,170582,11396,39625,116451,91020,708033,120508,189624,14500,6961,23626,667,2448,444713,,,11217,7404,4404,3452,2098,965,445,899755,15893,14601,19645,54550,615986,"Wake County, North Carolina",37,183,2010
10,33929,6204,69809,39155,192,1694,81374,31558,40190,44136,,,,,,,,47759,32153,22250,1809,8094,15606,13489,98163,14286,25946,2531,954,6351,135,812,60380,,,1364,1346,1003,746,792,251,119,118182,4371,3786,1042,11889,77755,"Wayne County, North Carolina",37,191,2010
11,30150,,62980,2943,129,352,53617,11974,24972,26289,,,,,,,,27062,18902,16052,343,2507,8160,6993,56534,7102,17864,1251,443,2096,0,242,,,,894,1209,1094,513,510,253,406,68213,3220,2243,134,5414,48229,"Wilkes County, North Carolina",37,193,2010
12,19386,,41237,32193,157,384,60438,15029,25604,30848,,,,,,,,32762,22007,14077,2077,5853,10755,8982,64952,10050,16736,2806,1119,2553,0,430,40731,,,1021,1026,940,1015,514,167,138,80503,3481,2675,655,5801,55467,"Wilson County, North Carolina",37,195,2010
13,37036,,75830,317,2848,217,61296,19138,,,,,,,,,,33807,21747,18295,969,2483,12060,9847,66355,9190,20028,1353,425,2657,0,53,40208,,,790,384,66,439,158,65,131,79697,2318,1626,951,6858,56141,"Burleigh County, North Dakota",38,015,2010
14,68351,,137481,3514,1360,3539,89273,52746,56165,55155,80996,75176,1369,761,2443,1022,2229,64525,35148,28056,1837,5255,29377,22340,122535,27185,29535,994,772,4314,0,771,70466,,,2653,906,887,631,264,220,139,149146,3810,3554,1712,9718,107668,"Cass County, North Dakota",38,017,2010
15,30425,,60155,1874,1830,1533,38724,24927,26441,25257,,,,,,,,27013,14664,11650,550,2464,12349,8515,55648,14170,12280,432,340,1932,0,101,30741,,,3281,327,207,136,99,0,18,65234,2405,1824,581,5260,47085,"Grand Forks County, North Dakota",38,035,2010
16,43485,,87840,12958,302,873,85966,17621,39542,40148,,,,,,,,40615,27971,20421,1669,5881,12644,11486,85031,12722,23488,2398,991,5024,0,478,51441,,,710,501,857,321,1005,115,117,103484,3725,3230,401,8273,72476,"Allen County, Ohio",39,003,2010
17,45329,,94095,3515,168,283,75761,23676,,,,,,,,,,38078,24990,18077,2238,4675,13088,11258,81656,11795,21181,2729,1792,5726,0,423,48459,,,481,458,695,731,413,261,366,98938,3465,2692,313,9407,68051,"Ashtabula County, Ohio",39,007,2010
18,151457,9239,319108,27940,833,9905,260024,87520,124896,134650,154878,143846,1425,210,5192,708,5330,135400,97234,74263,6206,16765,38166,30507,291287,45151,78998,3690,4143,12859,524,787,180118,,,3239,3643,2077,2055,1619,365,249,365175,9385,6161,2908,26946,248791,"Butler County, Ohio",39,017,2010
19,56570,,118405,12846,179,1069,108036,25985,48152,54137,,,,,,,,55459,35632,25209,2253,8170,19827,16497,111316,15441,29027,2732,1206,7335,10,893,69119,,,1605,1826,1038,1428,891,134,251,136874,5829,4068,779,14129,91239,"Clark County, Ohio",39,023,2010
20,92067,,189819,2468,360,1325,149315,41584,69024,72750,,,,,,,,71884,53111,42620,3727,6764,18773,16137,155707,20435,46406,2750,1268,7772,113,378,96363,,,1246,918,804,1001,750,355,131,196795,3810,3043,1982,14644,132529,"Clermont County, Ohio",39,025,2010
21,50321,,103095,2172,72,517,78330,27124,41062,41254,,,,,,,,42506,27706,21075,2097,4534,14800,12339,88904,12545,23624,2364,1017,7575,69,245,51753,,,941,970,956,1070,927,211,164,102419,3932,3644,229,8423,75904,"Columbiana County, Ohio",39,029,2010
22,378306,30248,822857,377263,3202,32836,944011,223469,416830,485290,486084,442426,31187,2054,15006,4267,20703,529942,313972,199567,22480,91925,215970,187460,1043979,197360,221250,20217,15473,53809,1280,6192,650146,30134,13803,11311,10414,9972,11196,8608,3696,2518,1261890,54608,40399,15102,91949,897061,"Cuyahoga County, Ohio",39,035,2010
23,76264,,158252,6402,0,8820,120405,42220,55247,59876,,,,,,,,63117,49757,41911,2104,5742,13360,11094,132098,14937,43902,1586,1019,3656,143,358,87116,,,425,999,521,680,237,270,37,172575,1764,1567,7033,9023,115459,"Delaware County, Ohio",39,041,2010
24,31992,,67584,5586,282,393,60807,14012,28181,30483,,,,,,,,32243,21740,17399,1368,2973,10503,8878,62821,8156,18092,1070,707,3512,0,516,37056,,,476,669,711,925,97,46,244,76744,2161,2747,766,6881,53137,"Erie County, Ohio",39,043,2010
25,383807,29952,816908,249476,1990,46025,777156,267286,375306,412538,500880,455777,13758,3267,13371,4245,24763,462716,270856,185201,18573,67082,191860,147436,931880,181797,208257,19671,11647,46104,1301,5817,574647,21616,21192,22765,12118,9122,7717,6366,2164,1035,1160107,44682,23911,14435,70751,815748,"Franklin County, Ohio",39,049,2010
26,44097,,90432,458,0,681,74239,14955,32040,34001,,,,,,,,34400,25513,21091,1554,2868,8887,7458,73858,9652,21905,450,843,3531,0,34,45542,,,137,516,632,525,189,0,0,91716,1143,1009,2374,6492,62635,"Geauga County, Ohio",39,055,2010
27,67552,,139493,12212,151,4638,101248,50555,57624,61947,,,,,,,,62413,40980,30658,2852,7470,21433,18501,133754,23909,34077,2723,1798,5155,233,767,79735,,,2404,932,890,941,585,184,315,155827,6569,2034,1671,17995,103854,"Greene County, Ohio",39,057,2010
28,263240,11062,553867,206307,1986,15568,574197,180891,268154,306251,320696,290233,13783,894,10644,844,13700,324915,198533,135016,14182,49335,126382,106229,646000,120556,148089,12004,9316,27989,665,4663,401908,,,10649,8423,3744,5281,5710,1401,1388,788406,32860,20052,13966,57172,555765,"Hamilton County, Ohio",39,061,2010
29,101402,4099,213485,8390,162,2843,180697,37084,81426,87900,107376,101426,870,0,1548,847,2443,93928,63118,48233,3248,11637,30810,26409,188379,27435,50531,1806,3178,9673,95,569,114575,,,799,1158,1276,1007,1096,249,0,228565,5638,3604,2201,20186,159128,"Lake County, Ohio",39,085,2010
30,75359,,155967,6021,151,1441,131267,30829,59289,63204,,,,,,,,63972,46120,36012,3442,6666,17852,15485,132598,16860,38732,1934,2106,6228,201,937,82684,,,541,1552,851,1378,779,549,224,165894,4616,3206,750,15159,110591,"Licking County, Ohio",39,089,2010
31,117614,12625,254085,26903,838,3284,227289,57994,107395,112377,123586,113625,1064,941,2319,724,4012,116475,80220,60645,4890,14685,36255,30786,242481,35993,66916,5757,3459,11721,197,773,148347,,,2563,3093,1478,2159,1073,573,239,293607,8719,6309,2498,23865,205524,"Lorain County, Ohio",39,093,2010
