,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,82110,,174923,23049,1917,303,109711,86871,74639,79686,,,,,,,,72269,45858,36595,2491,6772,26411,23243,166737,24498,42666,3861,3173,10218,0,368,101267,,,1305,1946,1089,464,1545,413,506,201190,3787,4331,4024,21873,136910,"Baldwin County, Alabama",01,003,2015
1,40740,,86053,22709,176,1229,82401,27768,40768,46363,,,,,,,,44323,29438,19739,1340,8359,14885,13214,95117,16273,22211,1575,1546,5077,29,241,57868,,,1397,972,1111,724,760,372,158,114127,3537,3162,174,10367,79601,"Calhoun County, Alabama",01,015,2015
2,38156,,80309,475,99,218,64479,15086,29968,31546,,,,,,,,30798,20951,16546,681,3724,9847,8880,66736,7301,18967,1424,1323,5079,,,,,,1113,867,1150,743,583,400,39,81197,3413,1971,544,5195,58412,"Cullman County, Alabama",01,043,2015
3,28087,5564,60748,1274,541,146,49105,15913,22762,25328,,,,,,,,26247,17721,12552,1629,3540,8526,7774,56645,8628,13384,1085,1051,3938,0,153,,,,447,735,1047,641,1443,444,190,70371,3245,1827,467,2917,50236,"DeKalb County, Alabama",01,049,2015
4,28789,,61760,17971,7,207,58437,20168,29112,31751,,,,,,,,29615,21942,16119,1339,4484,7673,7026,65741,10221,16044,858,973,4378,0,670,40485,,,504,93,1070,544,550,692,0,77038,2110,1139,832,6095,56162,"Elmore County, Alabama",01,051,2015
5,39006,,,,,,81913,18069,37070,41276,,,,,,,,39332,27549,20505,1777,5267,11783,10360,84443,12590,21475,1333,1684,4707,85,294,51715,,,586,664,598,767,1073,422,211,102284,2527,2361,387,6297,74176,"Etowah County, Alabama",01,055,2015
6,33873,1933,72292,27689,309,880,67474,33594,36094,41354,40727,37984,0,70,491,370,1256,38870,26058,17925,1767,6366,12812,11072,83868,13392,20243,1632,1013,4737,156,484,52291,,,591,976,558,742,618,103,136,103308,3338,2622,1426,8770,70658,"Houston County, Alabama",01,069,2015
7,160663,13339,345005,282511,1260,10861,493966,134234,220663,260456,282242,248062,2913,490,3954,2937,8690,264781,166887,106706,11184,48997,97894,84568,533443,90571,119596,10453,6565,30767,314,3025,336780,,,5200,6595,4059,4628,5385,2697,532,653229,24993,16463,12058,38328,469190,"Jefferson County, Alabama",01,073,2015
8,37684,,80447,9741,462,492,66311,24370,34259,38191,,,,,,,,38762,24621,19017,930,4674,14141,11792,77407,9818,20597,1163,1930,4067,0,298,46798,,,1256,601,501,967,585,41,0,91676,2517,3956,1111,5928,67911,"Lauderdale County, Alabama",01,077,2015
9,52670,,110378,36539,231,5714,79348,66521,56700,58926,,,,,,,,58191,37772,26022,3694,8056,20419,15853,128678,25884,28915,1354,1353,6730,160,730,77333,,,6619,1879,1119,821,543,408,133,155898,7752,3614,1831,10013,112835,"Lee County, Alabama",01,081,2015
