,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,84010,,180484,18821,1383,914,114881,87510,76001,82930,,,,,,,,76779,49943,39897,2336,7710,26836,23883,170919,24650,45112,3218,2520,9638,0,730,104676,,,993,1371,382,853,2014,506,509,206237,4574,4559,3552,18214,144320,"Baldwin County, Alabama",01,003,2016
1,40298,,84357,24160,803,1064,84175,26577,41524,45578,,,,,,,,43972,30403,21423,1581,7399,13569,11418,94345,14645,23440,2014,1156,5867,0,669,57085,,,723,912,577,831,1421,149,81,113079,3834,2879,942,8861,80454,"Calhoun County, Alabama",01,015,2016
2,37474,,79032,1052,633,763,60245,19280,30134,32113,,,,,,,,30299,21551,16931,1089,3531,8748,8317,67759,9509,17580,589,599,5690,0,37,40169,,,278,862,891,1442,422,116,203,81563,2924,1556,534,5531,58865,"Cullman County, Alabama",01,043,2016
3,28034,,62139,1087,862,74,48518,17993,24250,25733,,,,,,,,25383,18834,13830,864,4140,6549,5973,57211,7029,16251,585,209,4150,21,209,34977,,,713,424,1450,349,167,379,44,70070,2977,2134,415,3456,50289,"DeKalb County, Alabama",01,049,2016
4,29292,,,,,,60271,20189,,,,,,,,,,29350,21413,16325,1379,3709,7937,7238,66208,9558,16752,1197,1244,4414,0,843,40491,,,64,1071,351,220,662,193,0,76689,1764,1671,1242,6531,56314,"Elmore County, Alabama",01,051,2016
5,38857,,83159,16417,484,858,80050,18219,36079,40475,,,,,,,,38766,26348,18317,1588,6443,12418,11052,84456,12734,20883,1974,1288,5990,58,82,,,,1444,640,622,1212,781,239,203,101745,3658,2453,1084,8849,71012,"Etowah County, Alabama",01,055,2016
6,33715,1978,71838,27762,443,1054,70275,30819,36279,41420,41153,38383,16,82,445,303,926,39167,25102,17102,1887,6113,14065,12412,84056,14042,18695,1274,1471,5297,126,750,52355,,,1307,1474,815,885,781,445,193,103201,3588,2745,1120,7936,71488,"Houston County, Alabama",01,069,2016
7,159583,12641,340506,279979,1799,8366,492999,133964,221558,260641,283669,253715,2522,450,4001,2388,7879,261904,164604,107132,11719,45753,97300,85413,532737,90496,120620,11988,6890,28353,354,2838,335738,,,5670,4507,2455,4063,5422,2140,1350,652623,23915,15036,13536,37309,470041,"Jefferson County, Alabama",01,073,2016
8,37544,,80596,9513,132,720,63658,26134,33618,37939,,,,,,,,37875,23256,17943,588,4725,14619,12172,77434,10888,20051,1571,1249,4573,,,46438,,,1198,387,573,407,993,204,337,91319,3262,2387,628,6395,66809,"Lauderdale County, Alabama",01,077,2016
9,53454,,111185,37968,0,6648,78992,69545,56536,60419,,,,,,,,59354,35925,26338,2295,7292,23429,18475,130607,27127,29013,1805,1795,5683,0,798,77058,,,7147,1660,162,660,861,279,178,157742,6579,3386,1760,9170,115037,"Lee County, Alabama",01,081,2016
